Chronic_ID,Chronic_Condition,Risk_Modifier_Score,High_Risk_With_Symptoms,Associated_Department,Complication_Risk_Level
CHRON02614,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Moderate
CHRON02615,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Very High
CHRON02616,Sedentary Lifestyle,2,"Symptom_0, Symptom_1",Rheumatology,High
CHRON02617,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,High
CHRON02618,Age 40-50,2,"Symptom_0, Symptom_1",General Medicine,Very High
CHRON02619,Heart Disease + CKD,4,"Symptom_0, Symptom_1",General Medicine,High
CHRON02620,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Moderate
CHRON02621,Stress,1,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON02622,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Moderate
CHRON02623,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON02624,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON02625,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Very High
CHRON02626,Age 60-70,3,"Symptom_0, Symptom_1",Cardiology,Moderate
CHRON02627,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON02628,Stress,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON02629,Poor Diet,1,"Symptom_0, Symptom_1",Psychiatry,High
CHRON02630,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON02631,COPD + Heart Disease,4,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02632,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON02633,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Moderate
CHRON02634,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
CHRON02635,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Very High
CHRON02636,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Low
CHRON02637,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON02638,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Very High
CHRON02639,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Moderate
CHRON02640,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON02641,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Very High
CHRON02642,Age 60-70,2,"Symptom_0, Symptom_1",Endocrinology,Very High
CHRON02643,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Moderate
CHRON02644,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Very High
CHRON02645,Diabetes + Hypertension,4,"Symptom_0, Symptom_1",Oncology,Moderate
CHRON02646,Stress,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Low
CHRON02647,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Moderate
CHRON02648,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Moderate
CHRON02649,Age 70-80,2,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON02650,Poor Diet,2,"Symptom_0, Symptom_1",Endocrinology,Moderate
CHRON02651,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Moderate
CHRON02652,Stress,2,"Symptom_0, Symptom_1",Nephrology,Moderate
CHRON02653,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Moderate
CHRON02654,Age 50-60,3,"Symptom_0, Symptom_1",General Medicine,Low
CHRON02655,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Moderate
CHRON02656,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON02657,Stress,1,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Low
CHRON02658,Age 40-50,1,"Symptom_0, Symptom_1, Symptom_2",Oncology,High
CHRON02659,Age 60-70,3,"Symptom_0, Symptom_1",Nephrology,Very High
CHRON02660,COPD + Heart Disease,5,"Symptom_0, Symptom_1",Endocrinology,High
CHRON02661,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Very High
CHRON02662,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Cardiology,High
CHRON02663,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON02664,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,High
CHRON02665,Alcohol Use,2,"Symptom_0, Symptom_1",Oncology,Moderate
CHRON02666,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Very High
CHRON02667,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Moderate
CHRON02668,Stress,2,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON02669,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Very High
CHRON02670,COPD + Heart Disease,3,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02671,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON02672,Sedentary Lifestyle,1,"Symptom_0, Symptom_1",Oncology,Low
CHRON02673,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON02674,Heart Disease + CKD,4,"Symptom_0, Symptom_1",General Medicine,Low
CHRON02675,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON02676,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON02677,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Low
CHRON02678,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Very High
CHRON02679,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,High
CHRON02680,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON02681,Poor Diet,2,"Symptom_0, Symptom_1",Pulmonology,Low
CHRON02682,Smoking,2,"Symptom_0, Symptom_1",Psychiatry,High
CHRON02683,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON02684,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON02685,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,High
CHRON02686,Age 40-50,1,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON02687,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON02688,Smoking,2,"Symptom_0, Symptom_1",Oncology,Very High
CHRON02689,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,High
CHRON02690,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON02691,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2",Oncology,Low
CHRON02692,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON02693,Smoking,2,"Symptom_0, Symptom_1",Oncology,Very High
CHRON02694,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Very High
CHRON02695,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Moderate
CHRON02696,Heart Disease + CKD,3,"Symptom_0, Symptom_1",Nephrology,Low
CHRON02697,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,High
CHRON02698,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Moderate
CHRON02699,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON02700,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Very High
CHRON02701,Age 70-80,3,"Symptom_0, Symptom_1",Endocrinology,High
CHRON02702,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON02703,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON02704,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Low
CHRON02705,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,High
CHRON02706,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,High
CHRON02707,Poor Diet,2,"Symptom_0, Symptom_1",General Medicine,High
CHRON02708,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON02709,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",Oncology,High
CHRON02710,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Moderate
CHRON02711,Age 40-50,1,"Symptom_0, Symptom_1",Endocrinology,Very High
CHRON02712,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Very High
CHRON02713,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON02714,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON02715,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,High
CHRON02716,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
CHRON02717,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON02718,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON02719,Diabetes + Hypertension,3,"Symptom_0, Symptom_1",Oncology,High
CHRON02720,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Very High
CHRON02721,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON02722,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON02723,Poor Diet,2,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON02724,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Moderate
CHRON02725,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Very High
CHRON02726,Age 40-50,3,"Symptom_0, Symptom_1",Psychiatry,Very High
CHRON02727,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON02728,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,High
CHRON02729,Smoking,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON02730,Smoking,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,High
CHRON02731,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON02732,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,High
CHRON02733,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Very High
CHRON02734,Age 70-80,3,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON02735,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Moderate
CHRON02736,Age 40-50,1,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON02737,Alcohol Use,2,"Symptom_0, Symptom_1",Psychiatry,Very High
CHRON02738,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2",Oncology,Moderate
CHRON02739,Heart Disease + CKD,5,"Symptom_0, Symptom_1",Cardiology,Very High
CHRON02740,Stress,2,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02741,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON02742,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Low
CHRON02743,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Moderate
CHRON02744,Smoking,2,"Symptom_0, Symptom_1",Endocrinology,Moderate
CHRON02745,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Very High
CHRON02746,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2",Cardiology,High
CHRON02747,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON02748,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON02749,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Moderate
CHRON02750,Poor Diet,2,"Symptom_0, Symptom_1",Endocrinology,Low
CHRON02751,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Very High
CHRON02752,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,High
CHRON02753,Age 40-50,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON02754,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON02755,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON02756,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Very High
CHRON02757,Age 50-60,3,"Symptom_0, Symptom_1",Psychiatry,High
CHRON02758,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Very High
CHRON02759,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON02760,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON02761,Age 60-70,3,"Symptom_0, Symptom_1",Cardiology,Very High
CHRON02762,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON02763,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Very High
CHRON02764,Age 50-60,3,"Symptom_0, Symptom_1",Endocrinology,Low
CHRON02765,Age 80+,1,"Symptom_0, Symptom_1",General Medicine,Low
CHRON02766,Age 70-80,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Moderate
CHRON02767,Heart Disease + CKD,5,"Symptom_0, Symptom_1",Endocrinology,High
CHRON02768,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON02769,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Moderate
CHRON02770,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Oncology,Very High
CHRON02771,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,High
CHRON02772,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Oncology,Moderate
CHRON02773,Age 60-70,2,"Symptom_0, Symptom_1",General Medicine,Very High
CHRON02774,COPD + Heart Disease,3,"Symptom_0, Symptom_1",Oncology,Low
CHRON02775,Age 70-80,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,High
CHRON02776,Diabetes + Hypertension,5,"Symptom_0, Symptom_1",Rheumatology,Moderate
CHRON02777,Age 50-60,1,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON02778,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON02779,Sedentary Lifestyle,2,"Symptom_0, Symptom_1",Endocrinology,Very High
CHRON02780,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Low
CHRON02781,Heart Disease + CKD,3,"Symptom_0, Symptom_1",Rheumatology,High
CHRON02782,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON02783,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Very High
CHRON02784,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON02785,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,High
CHRON02786,COPD + Heart Disease,3,"Symptom_0, Symptom_1",General Medicine,Low
CHRON02787,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON02788,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON02789,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON02790,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON02791,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON02792,Diabetes + Hypertension,3,"Symptom_0, Symptom_1",Pulmonology,Low
CHRON02793,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Moderate
CHRON02794,Age 50-60,1,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02795,Alcohol Use,1,"Symptom_0, Symptom_1",Pulmonology,Low
CHRON02796,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON02797,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON02798,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,High
CHRON02799,Age 40-50,1,"Symptom_0, Symptom_1",Endocrinology,Low
CHRON02800,Age 80+,2,"Symptom_0, Symptom_1",Cardiology,Moderate
CHRON02801,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON02802,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Moderate
CHRON02803,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON02804,Age 80+,2,"Symptom_0, Symptom_1",General Medicine,Very High
CHRON02805,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Low
CHRON02806,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,High
CHRON02807,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON02808,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON02809,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON02810,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Very High
CHRON02811,Age 50-60,2,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02812,Stress,2,"Symptom_0, Symptom_1",General Medicine,Moderate
CHRON02813,Stress,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,Low
CHRON02814,Stress,1,"Symptom_0, Symptom_1, Symptom_2",Oncology,Moderate
CHRON02815,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Moderate
CHRON02816,Age 40-50,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,High
CHRON02817,Age 50-60,1,"Symptom_0, Symptom_1",Pulmonology,High
CHRON02818,Age 50-60,3,"Symptom_0, Symptom_1",General Medicine,Very High
CHRON02819,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,High
CHRON02820,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON02821,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON02822,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,High
CHRON02823,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON02824,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Very High
CHRON02825,Alcohol Use,1,"Symptom_0, Symptom_1",Pulmonology,Low
CHRON02826,Poor Diet,2,"Symptom_0, Symptom_1",Oncology,High
CHRON02827,Alcohol Use,1,"Symptom_0, Symptom_1",Endocrinology,Moderate
CHRON02828,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Very High
CHRON02829,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
CHRON02830,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON02831,COPD + Heart Disease,5,"Symptom_0, Symptom_1",Pulmonology,High
CHRON02832,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON02833,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Very High
CHRON02834,COPD + Heart Disease,5,"Symptom_0, Symptom_1",Endocrinology,Very High
CHRON02835,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON02836,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON02837,Age 60-70,1,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON02838,Age 40-50,1,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Very High
CHRON02839,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON02840,Age 60-70,2,"Symptom_0, Symptom_1",Pulmonology,Low
CHRON02841,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON02842,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,High
CHRON02843,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON02844,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON02845,COPD + Heart Disease,3,"Symptom_0, Symptom_1",General Medicine,High
CHRON02846,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,High
CHRON02847,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,High
CHRON02848,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Very High
CHRON02849,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,High
CHRON02850,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,High
CHRON02851,Heart Disease + CKD,3,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON02852,Diabetes + Hypertension,5,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02853,Poor Diet,1,"Symptom_0, Symptom_1",Nephrology,Low
CHRON02854,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON02855,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON02856,Age 40-50,1,"Symptom_0, Symptom_1",Nephrology,Very High
CHRON02857,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Low
CHRON02858,Age 40-50,3,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON02859,Age 80+,3,"Symptom_0, Symptom_1",Cardiology,Low
CHRON02860,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,High
CHRON02861,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON02862,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Very High
CHRON02863,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON02864,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON02865,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON02866,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON02867,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON02868,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON02869,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Low
CHRON02870,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON02871,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON02872,Smoking,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Very High
CHRON02873,Age 50-60,1,"Symptom_0, Symptom_1",Oncology,Low
CHRON02874,COPD + Heart Disease,5,"Symptom_0, Symptom_1",Pulmonology,Very High
CHRON02875,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Low
CHRON02876,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON02877,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,High
CHRON02878,Alcohol Use,2,"Symptom_0, Symptom_1",Rheumatology,Low
CHRON02879,Smoking,2,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON02880,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Very High
CHRON02881,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON02882,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2",Oncology,High
