Symptom_ID,Symptom_Name,Base_Severity,Emergency_Trigger,Associated_Department,Possible_Linked_Conditions,Typical_Duration_Days
SYMP02915,moderate dizziness,10,True,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",50
SYMP02916,mild numbness,10,True,Gastroenterology,Condition_0,7
SYMP02917,severe hearing loss,10,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",17
SYMP02918,sudden back,4,False,Gastroenterology,Condition_0,5
SYMP02919,persistent dizziness,4,False,Gastroenterology,Condition_0,41
SYMP02920,severe joint,5,True,Emergency,"Condition_0, Condition_1, Condition_2",33
SYMP02921,mild diarrhea,7,True,Orthopedics,Condition_0,42
SYMP02922,moderate throat,7,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",37
SYMP02923,intermittent seizure,7,False,Neurology,Condition_0,10
SYMP02924,severe fever,4,False,Gastroenterology,Condition_0,6
SYMP02925,mild rapid heartbeat,4,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",7
SYMP02926,sudden ear,6,False,ICU,"Condition_0, Condition_1",47
SYMP02927,persistent dizziness,3,True,General Medicine,"Condition_0, Condition_1, Condition_2",43
SYMP02928,chronic irregular heartbeat,2,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP02929,mild eye,6,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",26
SYMP02930,mild chest tightness,3,False,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",36
SYMP02931,acute difficulty breathing,6,False,Cardiology,"Condition_0, Condition_1",58
SYMP02932,sudden loss of smell,5,False,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",9
SYMP02933,intermittent sweating,2,False,Neurology,Condition_0,41
SYMP02934,sudden chest,4,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",33
SYMP02935,mild abdominal,1,False,Neurology,"Condition_0, Condition_1",11
SYMP02936,acute dizziness,5,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",43
SYMP02937,persistent difficulty breathing,10,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",14
SYMP02938,sudden abdominal,1,False,Gastroenterology,Condition_0,31
SYMP02939,sudden nausea,5,False,Orthopedics,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP02940,chronic shortness of breath,5,True,Infectious Disease,Condition_0,16
SYMP02941,sudden chills,10,True,Orthopedics,Condition_0,7
SYMP02942,intermittent seizure,2,False,ICU,Condition_0,14
SYMP02943,acute irregular heartbeat,9,False,Infectious Disease,Condition_0,41
SYMP02944,chronic rapid heartbeat,9,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP02945,mild joint,5,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",34
SYMP02946,moderate seizure,7,False,ICU,"Condition_0, Condition_1, Condition_2",28
SYMP02947,sudden weight loss,3,False,Surgery,"Condition_0, Condition_1",38
SYMP02948,intermittent loss of taste,2,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",52
SYMP02949,mild wheezing,2,False,Infectious Disease,"Condition_0, Condition_1",41
SYMP02950,intermittent tingling,2,False,Pulmonology,Condition_0,22
SYMP02951,acute weight loss,1,False,Infectious Disease,Condition_0,9
SYMP02952,acute fever,2,False,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",27
SYMP02953,persistent joint,3,False,Gastroenterology,"Condition_0, Condition_1",11
SYMP02954,chronic blurred vision,7,False,Orthopedics,Condition_0,34
SYMP02955,intermittent abdominal,4,True,General Medicine,"Condition_0, Condition_1, Condition_2",1
SYMP02956,persistent tingling,2,False,Pulmonology,"Condition_0, Condition_1",4
SYMP02957,persistent numbness,5,False,Surgery,"Condition_0, Condition_1",45
SYMP02958,acute chest,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",51
SYMP02959,moderate fever,9,False,ICU,Condition_0,1
SYMP02960,intermittent weight loss,10,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",32
SYMP02961,intermittent blurred vision,6,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",26
SYMP02962,mild back,9,False,Pulmonology,Condition_0,27
SYMP02963,intermittent head,3,True,Gastroenterology,Condition_0,59
SYMP02964,mild eye,7,False,General Medicine,"Condition_0, Condition_1",21
SYMP02965,mild diarrhea,2,False,Surgery,"Condition_0, Condition_1, Condition_2",50
SYMP02966,acute confusion,4,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",24
SYMP02967,persistent abdominal,3,False,General Medicine,"Condition_0, Condition_1",41
SYMP02968,chronic hearing loss,2,True,Surgery,"Condition_0, Condition_1, Condition_2",37
SYMP02969,acute chills,4,True,Infectious Disease,"Condition_0, Condition_1, Condition_2",39
SYMP02970,mild difficulty breathing,7,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",44
SYMP02971,chronic weakness,1,True,General Medicine,"Condition_0, Condition_1",50
SYMP02972,intermittent chest,8,False,Neurology,Condition_0,58
SYMP02973,intermittent throat,1,False,Cardiology,"Condition_0, Condition_1",16
SYMP02974,mild hearing loss,7,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",47
SYMP02975,severe joint,3,False,Emergency,Condition_0,42
SYMP02976,persistent cough,9,False,Surgery,Condition_0,26
SYMP02977,moderate wheezing,1,False,Orthopedics,"Condition_0, Condition_1, Condition_2",40
SYMP02978,severe chest tightness,7,False,Orthopedics,Condition_0,26
SYMP02979,persistent muscle,1,False,Orthopedics,Condition_0,55
SYMP02980,chronic constipation,8,False,Surgery,Condition_0,41
SYMP02981,mild joint,7,False,Surgery,"Condition_0, Condition_1, Condition_2",14
SYMP02982,acute loss of smell,8,False,Gastroenterology,Condition_0,41
SYMP02983,intermittent wheezing,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",15
SYMP02984,sudden constipation,9,False,Pulmonology,"Condition_0, Condition_1, Condition_2",59
SYMP02985,acute abdominal,6,False,Cardiology,"Condition_0, Condition_1",24
SYMP02986,mild cough,4,False,Emergency,"Condition_0, Condition_1, Condition_2",58
SYMP02987,persistent joint,4,False,Cardiology,"Condition_0, Condition_1, Condition_2",40
SYMP02988,acute blurred vision,5,False,Pulmonology,"Condition_0, Condition_1, Condition_2",4
SYMP02989,sudden muscle,3,False,Pulmonology,"Condition_0, Condition_1",29
SYMP02990,mild loss of smell,9,False,Emergency,"Condition_0, Condition_1",28
SYMP02991,chronic chills,10,False,Cardiology,"Condition_0, Condition_1, Condition_2",12
SYMP02992,persistent vomiting,4,False,General Medicine,"Condition_0, Condition_1",12
SYMP02993,mild palpitations,5,True,ICU,Condition_0,13
SYMP02994,mild vomiting,9,False,General Medicine,"Condition_0, Condition_1",41
SYMP02995,acute shortness of breath,5,False,Cardiology,Condition_0,19
SYMP02996,intermittent diarrhea,10,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",23
SYMP02997,severe palpitations,4,False,General Medicine,"Condition_0, Condition_1",19
SYMP02998,chronic vomiting,8,False,General Medicine,"Condition_0, Condition_1, Condition_2",36
SYMP02999,moderate sweating,3,False,Emergency,"Condition_0, Condition_1",18
SYMP03000,mild vomiting,1,False,Orthopedics,"Condition_0, Condition_1",16
SYMP03001,persistent back,8,True,Surgery,Condition_0,5
SYMP03002,intermittent rapid heartbeat,8,True,Surgery,Condition_0,36
SYMP03003,severe blurred vision,9,False,Cardiology,"Condition_0, Condition_1",7
SYMP03004,moderate chest tightness,6,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",42
SYMP03005,mild ear,8,False,Emergency,Condition_0,16
SYMP03006,severe fatigue,4,False,Infectious Disease,Condition_0,2
SYMP03007,chronic abdominal,7,False,Surgery,"Condition_0, Condition_1, Condition_2",50
SYMP03008,mild hearing loss,1,False,Cardiology,Condition_0,49
SYMP03009,intermittent throat,8,True,Emergency,"Condition_0, Condition_1",16
SYMP03010,persistent seizure,2,False,General Medicine,Condition_0,19
SYMP03011,persistent fatigue,3,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",25
SYMP03012,sudden hearing loss,7,True,Surgery,Condition_0,18
SYMP03013,intermittent nausea,7,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP03014,acute abdominal,4,False,Neurology,"Condition_0, Condition_1, Condition_2",20
SYMP03015,intermittent diarrhea,2,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",21
SYMP03016,intermittent dizziness,10,False,Infectious Disease,Condition_0,26
SYMP03017,mild muscle,9,False,Infectious Disease,Condition_0,23
SYMP03018,intermittent palpitations,6,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",50
SYMP03019,persistent confusion,4,True,Gastroenterology,"Condition_0, Condition_1, Condition_2",39
SYMP03020,acute difficulty breathing,1,True,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",23
SYMP03021,mild hearing loss,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",33
SYMP03022,acute numbness,10,False,Neurology,"Condition_0, Condition_1, Condition_2",32
SYMP03023,acute chest tightness,6,False,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",59
SYMP03024,severe chest tightness,8,True,Emergency,"Condition_0, Condition_1",28
SYMP03025,mild fatigue,1,True,Emergency,"Condition_0, Condition_1",44
SYMP03026,severe abdominal,10,False,Orthopedics,Condition_0,15
SYMP03027,sudden fatigue,8,False,Gastroenterology,"Condition_0, Condition_1",1
SYMP03028,intermittent chest tightness,4,False,Gastroenterology,"Condition_0, Condition_1",2
SYMP03029,persistent cough,2,False,General Medicine,Condition_0,18
SYMP03030,persistent muscle,1,False,Neurology,"Condition_0, Condition_1",46
SYMP03031,severe blurred vision,3,False,Gastroenterology,Condition_0,24
SYMP03032,moderate muscle,2,False,Surgery,Condition_0,50
SYMP03033,acute shortness of breath,9,False,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",5
SYMP03034,sudden cough,7,True,ICU,"Condition_0, Condition_1, Condition_2",20
SYMP03035,moderate difficulty breathing,7,False,Surgery,"Condition_0, Condition_1, Condition_2",7
SYMP03036,persistent wheezing,1,True,Neurology,"Condition_0, Condition_1",1
SYMP03037,mild rapid heartbeat,6,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",3
SYMP03038,chronic back,2,True,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",59
SYMP03039,persistent chest,4,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",19
SYMP03040,severe throat,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",20
SYMP03041,mild weight loss,5,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",48
SYMP03042,acute weakness,10,True,Emergency,"Condition_0, Condition_1",38
SYMP03043,sudden diarrhea,7,True,Surgery,Condition_0,35
SYMP03044,severe sweating,8,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",27
SYMP03045,severe throat,4,False,Surgery,Condition_0,26
SYMP03046,persistent throat,9,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",43
SYMP03047,mild throat,10,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",29
SYMP03048,moderate blurred vision,8,False,Surgery,Condition_0,4
SYMP03049,persistent constipation,4,False,Neurology,"Condition_0, Condition_1, Condition_2",26
SYMP03050,severe nausea,4,False,Cardiology,"Condition_0, Condition_1",28
SYMP03051,severe tingling,9,False,Orthopedics,"Condition_0, Condition_1, Condition_2, Condition_3",50
SYMP03052,acute sweating,4,False,Surgery,"Condition_0, Condition_1, Condition_2",49
SYMP03053,moderate ear,9,False,Emergency,"Condition_0, Condition_1",17
SYMP03054,mild fever,2,False,Orthopedics,"Condition_0, Condition_1",2
SYMP03055,persistent hearing loss,1,False,ICU,"Condition_0, Condition_1, Condition_2",50
SYMP03056,chronic bloating,4,False,Orthopedics,"Condition_0, Condition_1, Condition_2",27
SYMP03057,moderate weakness,8,False,General Medicine,"Condition_0, Condition_1",8
SYMP03058,acute sweating,5,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP03059,persistent weakness,1,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",6
SYMP03060,sudden loss of smell,6,False,Neurology,"Condition_0, Condition_1",26
SYMP03061,chronic fatigue,5,True,Pulmonology,Condition_0,52
SYMP03062,severe tingling,1,False,Gastroenterology,"Condition_0, Condition_1",48
SYMP03063,intermittent fatigue,7,False,Orthopedics,"Condition_0, Condition_1",18
SYMP03064,intermittent hearing loss,7,False,Surgery,"Condition_0, Condition_1, Condition_2, Condition_3",49
SYMP03065,sudden irregular heartbeat,10,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",2
SYMP03066,persistent vomiting,10,False,Emergency,"Condition_0, Condition_1",3
SYMP03067,severe irregular heartbeat,10,False,Neurology,"Condition_0, Condition_1, Condition_2",17
SYMP03068,mild sweating,5,False,Cardiology,"Condition_0, Condition_1, Condition_2",28
SYMP03069,mild chest tightness,6,False,Infectious Disease,"Condition_0, Condition_1",3
SYMP03070,mild seizure,3,False,Surgery,Condition_0,36
SYMP03071,sudden joint,10,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP03072,acute vomiting,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2",28
SYMP03073,mild irregular heartbeat,3,False,General Medicine,Condition_0,55
SYMP03074,intermittent chills,7,False,Pulmonology,Condition_0,31
SYMP03075,persistent tingling,10,False,Cardiology,"Condition_0, Condition_1, Condition_2",17
SYMP03076,sudden muscle,1,False,Infectious Disease,"Condition_0, Condition_1",32
SYMP03077,acute seizure,8,False,Neurology,Condition_0,17
SYMP03078,chronic weight loss,1,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",55
SYMP03079,severe diarrhea,4,True,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",39
SYMP03080,persistent abdominal,8,False,Pulmonology,Condition_0,2
SYMP03081,moderate loss of taste,5,False,Gastroenterology,"Condition_0, Condition_1",32
SYMP03082,persistent constipation,8,False,Emergency,Condition_0,58
SYMP03083,mild cough,8,False,Infectious Disease,Condition_0,6
SYMP03084,mild hearing loss,3,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",33
SYMP03085,acute muscle,5,False,General Medicine,Condition_0,30
SYMP03086,chronic cough,7,False,Infectious Disease,Condition_0,18
SYMP03087,persistent palpitations,2,False,Neurology,"Condition_0, Condition_1, Condition_2, Condition_3",13
SYMP03088,persistent numbness,4,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",31
SYMP03089,intermittent back,9,False,Surgery,"Condition_0, Condition_1, Condition_2",15
SYMP03090,chronic rapid heartbeat,4,False,Surgery,Condition_0,59
SYMP03091,chronic shortness of breath,8,False,General Medicine,Condition_0,8
SYMP03092,persistent throat,9,True,Surgery,"Condition_0, Condition_1, Condition_2",33
SYMP03093,severe vomiting,10,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",49
SYMP03094,intermittent hearing loss,2,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",2
SYMP03095,mild rapid heartbeat,5,False,Infectious Disease,Condition_0,16
SYMP03096,chronic constipation,3,False,Surgery,Condition_0,58
SYMP03097,severe weakness,2,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",49
SYMP03098,severe cough,5,False,Orthopedics,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP03099,acute blurred vision,2,True,General Medicine,Condition_0,10
SYMP03100,intermittent blurred vision,4,False,Emergency,"Condition_0, Condition_1",12
SYMP03101,sudden wheezing,1,False,Cardiology,Condition_0,33
SYMP03102,severe constipation,6,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",45
SYMP03103,chronic head,9,True,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",20
SYMP03104,severe chest tightness,8,False,Orthopedics,"Condition_0, Condition_1",51
SYMP03105,intermittent eye,3,False,Surgery,Condition_0,46
SYMP03106,acute palpitations,8,True,Cardiology,Condition_0,5
SYMP03107,sudden wheezing,5,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",26
SYMP03108,severe throat,3,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",10
SYMP03109,persistent fatigue,2,False,Orthopedics,"Condition_0, Condition_1",30
SYMP03110,chronic irregular heartbeat,5,False,Emergency,Condition_0,56
SYMP03111,moderate chest tightness,4,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",14
SYMP03112,chronic fever,9,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",11
SYMP03113,persistent fatigue,10,False,Gastroenterology,"Condition_0, Condition_1",37
SYMP03114,severe wheezing,9,False,General Medicine,"Condition_0, Condition_1",47
SYMP03115,persistent diarrhea,3,False,ICU,"Condition_0, Condition_1, Condition_2",51
SYMP03116,moderate tingling,3,False,Orthopedics,"Condition_0, Condition_1",56
SYMP03117,moderate wheezing,5,False,Surgery,Condition_0,58
SYMP03118,moderate nausea,3,False,Surgery,"Condition_0, Condition_1, Condition_2",59
SYMP03119,acute throat,5,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",51
SYMP03120,chronic shortness of breath,2,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",15
SYMP03121,intermittent chest tightness,2,False,Emergency,"Condition_0, Condition_1",5
SYMP03122,mild numbness,5,False,Emergency,"Condition_0, Condition_1, Condition_2",42
SYMP03123,intermittent seizure,3,False,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP03124,mild tingling,9,False,Surgery,"Condition_0, Condition_1",27
SYMP03125,persistent constipation,8,False,General Medicine,"Condition_0, Condition_1",39
SYMP03126,intermittent hearing loss,7,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",11
SYMP03127,moderate weakness,9,False,Neurology,"Condition_0, Condition_1, Condition_2",20
SYMP03128,acute hearing loss,3,False,Cardiology,Condition_0,37
SYMP03129,intermittent wheezing,4,False,Orthopedics,Condition_0,20
SYMP03130,intermittent head,5,False,ICU,"Condition_0, Condition_1, Condition_2",1
SYMP03131,acute rapid heartbeat,9,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",42
SYMP03132,severe confusion,9,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",48
SYMP03133,sudden chest tightness,2,False,Pulmonology,"Condition_0, Condition_1",44
SYMP03134,moderate confusion,9,False,Orthopedics,"Condition_0, Condition_1, Condition_2",7
SYMP03135,acute chest,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",37
SYMP03136,chronic rapid heartbeat,9,False,Cardiology,Condition_0,26
SYMP03137,persistent chills,1,True,Gastroenterology,"Condition_0, Condition_1, Condition_2",54
SYMP03138,persistent weakness,3,False,Cardiology,"Condition_0, Condition_1, Condition_2",40
SYMP03139,moderate chest tightness,7,False,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",39
SYMP03140,mild throat,6,False,Cardiology,"Condition_0, Condition_1, Condition_2",8
SYMP03141,intermittent confusion,5,False,Neurology,Condition_0,30
SYMP03142,moderate loss of smell,8,False,Pulmonology,Condition_0,41
SYMP03143,acute loss of smell,6,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",25
SYMP03144,chronic blurred vision,1,False,General Medicine,"Condition_0, Condition_1",37
SYMP03145,mild loss of taste,9,True,Cardiology,"Condition_0, Condition_1",7
SYMP03146,intermittent eye,9,False,Surgery,Condition_0,7
SYMP03147,severe joint,5,False,Surgery,Condition_0,11
SYMP03148,moderate chills,5,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",1
SYMP03149,sudden vomiting,10,False,Neurology,Condition_0,28
SYMP03150,moderate chest,9,True,Surgery,Condition_0,41
SYMP03151,chronic confusion,10,False,Surgery,"Condition_0, Condition_1, Condition_2, Condition_3",45
SYMP03152,chronic loss of smell,1,False,Emergency,"Condition_0, Condition_1",58
SYMP03153,mild blurred vision,4,False,Neurology,"Condition_0, Condition_1",46
SYMP03154,severe abdominal,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2",23
SYMP03155,mild loss of smell,8,False,Orthopedics,"Condition_0, Condition_1, Condition_2",48
SYMP03156,moderate chest tightness,3,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",41
SYMP03157,sudden vomiting,2,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",18
SYMP03158,mild confusion,2,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",34
SYMP03159,acute loss of smell,7,False,Surgery,"Condition_0, Condition_1",45
SYMP03160,chronic constipation,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",42
SYMP03161,persistent eye,4,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",20
SYMP03162,intermittent loss of taste,9,False,Pulmonology,Condition_0,55
SYMP03163,mild blurred vision,4,False,Pulmonology,Condition_0,47
SYMP03164,persistent rapid heartbeat,10,False,Gastroenterology,"Condition_0, Condition_1",12
SYMP03165,severe constipation,6,False,Orthopedics,"Condition_0, Condition_1, Condition_2, Condition_3",5
SYMP03166,mild head,6,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",45
SYMP03167,sudden chest,9,False,Infectious Disease,"Condition_0, Condition_1, Condition_2",47
SYMP03168,mild hearing loss,10,False,Cardiology,"Condition_0, Condition_1, Condition_2",18
SYMP03169,mild blurred vision,5,False,Emergency,"Condition_0, Condition_1",59
SYMP03170,mild rapid heartbeat,3,True,Emergency,"Condition_0, Condition_1, Condition_2",32
SYMP03171,acute tingling,9,False,Surgery,Condition_0,36
SYMP03172,severe hearing loss,8,False,ICU,"Condition_0, Condition_1, Condition_2",5
SYMP03173,intermittent diarrhea,3,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",6
SYMP03174,mild shortness of breath,6,False,Neurology,"Condition_0, Condition_1",39
SYMP03175,intermittent chest,8,True,Cardiology,Condition_0,37
SYMP03176,moderate back,6,False,Orthopedics,"Condition_0, Condition_1",18
SYMP03177,severe loss of smell,2,False,Pulmonology,Condition_0,2
SYMP03178,intermittent palpitations,7,False,Orthopedics,"Condition_0, Condition_1",5
SYMP03179,severe diarrhea,2,False,Cardiology,Condition_0,54
SYMP03180,chronic nausea,5,True,Cardiology,"Condition_0, Condition_1, Condition_2, Condition_3",40
SYMP03181,moderate seizure,4,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",4
SYMP03182,mild loss of taste,1,False,Surgery,"Condition_0, Condition_1, Condition_2",42
SYMP03183,severe chest,1,True,Surgery,"Condition_0, Condition_1, Condition_2",15
SYMP03184,severe eye,9,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",4
SYMP03185,severe weakness,8,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",53
SYMP03186,acute constipation,8,False,Gastroenterology,"Condition_0, Condition_1",21
SYMP03187,acute hearing loss,1,False,General Medicine,"Condition_0, Condition_1, Condition_2",42
SYMP03188,persistent difficulty breathing,5,False,Neurology,Condition_0,53
SYMP03189,intermittent loss of taste,9,True,General Medicine,"Condition_0, Condition_1, Condition_2, Condition_3",37
SYMP03190,sudden numbness,9,False,Infectious Disease,"Condition_0, Condition_1",21
SYMP03191,mild muscle,8,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",24
SYMP03192,acute shortness of breath,10,False,Neurology,"Condition_0, Condition_1",33
SYMP03193,sudden nausea,6,False,ICU,"Condition_0, Condition_1, Condition_2",58
SYMP03194,sudden weight loss,8,False,Surgery,"Condition_0, Condition_1, Condition_2, Condition_3",56
SYMP03195,acute shortness of breath,1,False,General Medicine,"Condition_0, Condition_1, Condition_2",45
SYMP03196,acute diarrhea,4,False,ICU,Condition_0,49
SYMP03197,persistent throat,4,False,Cardiology,"Condition_0, Condition_1, Condition_2",7
SYMP03198,sudden abdominal,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2, Condition_3",8
SYMP03199,intermittent loss of taste,3,False,Gastroenterology,"Condition_0, Condition_1",23
SYMP03200,mild palpitations,9,False,Pulmonology,Condition_0,26
SYMP03201,moderate constipation,8,True,General Medicine,"Condition_0, Condition_1, Condition_2",47
SYMP03202,chronic back,5,True,Cardiology,"Condition_0, Condition_1",4
SYMP03203,intermittent bloating,4,False,Infectious Disease,Condition_0,19
SYMP03204,severe numbness,10,False,Emergency,"Condition_0, Condition_1, Condition_2, Condition_3",57
SYMP03205,intermittent wheezing,6,True,Infectious Disease,"Condition_0, Condition_1",34
SYMP03206,moderate weight loss,2,False,General Medicine,Condition_0,21
SYMP03207,chronic tingling,4,False,ICU,"Condition_0, Condition_1, Condition_2, Condition_3",42
SYMP03208,moderate muscle,7,False,ICU,"Condition_0, Condition_1",33
SYMP03209,intermittent ear,9,False,Pulmonology,"Condition_0, Condition_1, Condition_2, Condition_3",34
SYMP03210,chronic weight loss,7,False,Gastroenterology,Condition_0,52
SYMP03211,chronic blurred vision,10,False,ICU,Condition_0,16
SYMP03212,chronic sweating,8,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",23
SYMP03213,mild chest tightness,4,False,Emergency,Condition_0,46
SYMP03214,severe loss of smell,3,False,Orthopedics,"Condition_0, Condition_1, Condition_2, Condition_3",41
SYMP03215,persistent wheezing,5,False,Gastroenterology,"Condition_0, Condition_1",12
SYMP03216,mild hearing loss,7,False,Surgery,Condition_0,2
SYMP03217,mild wheezing,3,False,Emergency,"Condition_0, Condition_1",12
SYMP03218,mild loss of taste,2,False,Gastroenterology,Condition_0,1
SYMP03219,mild fatigue,1,False,Cardiology,Condition_0,39
SYMP03220,intermittent loss of smell,5,False,General Medicine,"Condition_0, Condition_1, Condition_2",25
SYMP03221,sudden palpitations,4,False,Surgery,"Condition_0, Condition_1",31
SYMP03222,severe numbness,3,False,Infectious Disease,"Condition_0, Condition_1, Condition_2, Condition_3",34
SYMP03223,sudden eye,7,False,Gastroenterology,"Condition_0, Condition_1, Condition_2",41
SYMP03224,persistent nausea,7,False,ICU,"Condition_0, Condition_1",2
SYMP03225,chronic abdominal,3,False,Orthopedics,"Condition_0, Condition_1, Condition_2, Condition_3",3
SYMP03226,mild chest,8,False,Cardiology,"Condition_0, Condition_1, Condition_2",32
SYMP03227,moderate tingling,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2",36
SYMP03228,persistent palpitations,4,False,Pulmonology,"Condition_0, Condition_1, Condition_2",7
SYMP03229,severe dizziness,10,True,General Medicine,"Condition_0, Condition_1",33
SYMP03230,intermittent confusion,3,False,Emergency,Condition_0,6
SYMP03231,severe chest,6,False,Gastroenterology,Condition_0,20
SYMP03232,mild ear,10,True,Orthopedics,"Condition_0, Condition_1, Condition_2",41
SYMP03233,severe fever,10,False,General Medicine,Condition_0,8
SYMP03234,persistent dizziness,7,False,Emergency,"Condition_0, Condition_1, Condition_2",16
SYMP03235,intermittent nausea,2,False,Surgery,Condition_0,31
SYMP03236,chronic difficulty breathing,3,False,ICU,"Condition_0, Condition_1",2
SYMP03237,intermittent sweating,7,False,General Medicine,Condition_0,11
SYMP03238,persistent fatigue,5,False,Neurology,"Condition_0, Condition_1, Condition_2",7
SYMP03239,acute back,8,False,Gastroenterology,Condition_0,21
SYMP03240,severe fever,10,False,ICU,Condition_0,15
SYMP03241,moderate abdominal,7,False,Emergency,"Condition_0, Condition_1",2
SYMP03242,persistent head,4,False,Neurology,Condition_0,27
SYMP03243,intermittent dizziness,1,True,General Medicine,"Condition_0, Condition_1, Condition_2",37
SYMP03244,mild muscle,1,False,General Medicine,Condition_0,8
SYMP03245,mild eye,2,False,Pulmonology,"Condition_0, Condition_1",17
SYMP03246,acute difficulty breathing,10,True,Emergency,Condition_0,22
SYMP03247,intermittent numbness,1,False,Gastroenterology,Condition_0,9
