Doctor_ID,Specialization,Subspecialty,Experience_Years,Max_Patients_Per_Hour,Critical_Case_Certified,Performance_Score,Preferred_Case_Types,Consultation_Fee,Availability_Hours_Per_Week
DOC02700,General Medicine,General Medicine General,12,6,No,7.9,General Medicine Cases,3573,41
DOC02701,General Medicine,General Medicine General,31,6,No,10.0,General Medicine Cases,2033,57
DOC02702,General Medicine,General Medicine General,8,6,No,8.5,General Medicine Cases,2015,56
DOC02703,General Medicine,General Medicine General,3,6,No,5.4,General Medicine Cases,2192,67
DOC02704,General Medicine,General Medicine General,3,6,No,5.3,General Medicine Cases,2949,71
DOC02705,General Medicine,General Medicine General,36,6,No,10.0,General Medicine Cases,1134,47
DOC02706,General Medicine,General Medicine General,35,6,No,10.0,General Medicine Cases,527,50
DOC02707,General Medicine,General Medicine General,5,6,No,7.2,General Medicine Cases,903,41
DOC02708,General Medicine,General Medicine General,4,6,No,6.2,General Medicine Cases,4397,43
DOC02709,General Medicine,General Medicine General,3,6,No,5.9,General Medicine Cases,2187,74
DOC02710,General Medicine,General Medicine General,5,6,No,6.9,General Medicine Cases,2514,70
DOC02711,General Medicine,General Medicine General,27,6,No,10.0,General Medicine Cases,2469,72
DOC02712,General Medicine,General Medicine General,6,6,No,6.9,General Medicine Cases,538,49
DOC02713,General Medicine,General Medicine General,7,6,No,7.6,General Medicine Cases,2182,73
DOC02714,General Medicine,General Medicine General,18,6,No,9.2,General Medicine Cases,1562,67
DOC02715,General Medicine,General Medicine General,5,6,No,6.4,General Medicine Cases,4818,50
DOC02716,General Medicine,General Medicine General,4,6,No,6.0,General Medicine Cases,937,70
DOC02717,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,953,72
DOC02718,General Medicine,General Medicine General,6,6,No,6.8,General Medicine Cases,735,78
DOC02719,General Medicine,General Medicine General,3,6,No,5.4,General Medicine Cases,2383,45
DOC02720,General Medicine,General Medicine General,24,6,No,10.0,General Medicine Cases,2293,79
DOC02721,General Medicine,General Medicine General,14,6,No,9.6,General Medicine Cases,2658,65
DOC02722,General Medicine,General Medicine General,4,6,No,7.2,General Medicine Cases,4145,71
DOC02723,General Medicine,General Medicine General,5,6,No,5.8,General Medicine Cases,2788,76
DOC02724,General Medicine,General Medicine General,15,6,No,9.8,General Medicine Cases,4250,60
DOC02725,General Medicine,General Medicine General,1,6,No,6.7,General Medicine Cases,4242,43
DOC02726,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,686,77
DOC02727,General Medicine,General Medicine General,7,6,No,7.3,General Medicine Cases,3273,53
DOC02728,General Medicine,General Medicine General,6,6,No,6.9,General Medicine Cases,3715,70
DOC02729,General Medicine,General Medicine General,5,6,No,6.7,General Medicine Cases,1757,66
DOC02730,General Medicine,General Medicine General,4,6,No,7.0,General Medicine Cases,757,62
DOC02731,General Medicine,General Medicine General,8,6,No,8.0,General Medicine Cases,3487,71
DOC02732,General Medicine,General Medicine General,17,6,No,10.0,General Medicine Cases,952,51
DOC02733,General Medicine,General Medicine General,16,6,No,10.0,General Medicine Cases,1283,40
DOC02734,General Medicine,General Medicine General,1,6,No,5.9,General Medicine Cases,3247,54
DOC02735,General Medicine,General Medicine General,5,6,No,5.9,General Medicine Cases,2996,68
DOC02736,General Medicine,General Medicine General,3,6,No,5.8,General Medicine Cases,1908,53
DOC02737,General Medicine,General Medicine General,16,6,No,10.0,General Medicine Cases,3107,72
DOC02738,General Medicine,General Medicine General,11,6,No,7.9,General Medicine Cases,2391,78
DOC02739,General Medicine,General Medicine General,10,6,No,8.9,General Medicine Cases,3457,54
DOC02740,General Medicine,General Medicine General,6,6,No,6.5,General Medicine Cases,4811,56
DOC02741,General Medicine,General Medicine General,10,6,No,8.6,General Medicine Cases,3593,58
DOC02742,General Medicine,General Medicine General,19,6,No,10.0,General Medicine Cases,3843,65
DOC02743,General Medicine,General Medicine General,11,6,No,9.1,General Medicine Cases,921,59
DOC02744,General Medicine,General Medicine General,4,6,No,5.7,General Medicine Cases,3191,43
DOC02745,General Medicine,General Medicine General,4,6,No,6.6,General Medicine Cases,2720,77
DOC02746,General Medicine,General Medicine General,21,6,No,10.0,General Medicine Cases,4599,67
DOC02747,General Medicine,General Medicine General,1,6,No,5.2,General Medicine Cases,3483,73
DOC02748,General Medicine,General Medicine General,14,6,No,9.3,General Medicine Cases,1121,56
DOC02749,General Medicine,General Medicine General,2,6,No,5.8,General Medicine Cases,2282,62
DOC02750,General Medicine,General Medicine General,7,6,No,7.8,General Medicine Cases,1904,79
DOC02751,General Medicine,General Medicine General,15,6,No,8.5,General Medicine Cases,1279,45
DOC02752,General Medicine,General Medicine General,6,6,No,7.7,General Medicine Cases,729,73
DOC02753,General Medicine,General Medicine General,7,6,No,7.0,General Medicine Cases,4994,74
DOC02754,General Medicine,General Medicine General,12,6,No,7.6,General Medicine Cases,562,44
DOC02755,General Medicine,General Medicine General,5,6,No,6.6,General Medicine Cases,2115,63
DOC02756,General Medicine,General Medicine General,1,6,No,6.7,General Medicine Cases,3461,50
DOC02757,General Medicine,General Medicine General,3,6,No,6.6,General Medicine Cases,3651,48
DOC02758,General Medicine,General Medicine General,9,6,No,8.0,General Medicine Cases,4734,54
DOC02759,General Medicine,General Medicine General,8,6,No,8.4,General Medicine Cases,1096,56
DOC02760,General Medicine,General Medicine General,7,6,No,7.8,General Medicine Cases,4717,58
DOC02761,General Medicine,General Medicine General,6,6,No,6.6,General Medicine Cases,4338,72
DOC02762,General Medicine,General Medicine General,6,6,No,6.6,General Medicine Cases,1029,58
DOC02763,General Medicine,General Medicine General,10,6,No,7.9,General Medicine Cases,1864,76
DOC02764,General Medicine,General Medicine General,10,6,No,7.8,General Medicine Cases,2250,40
DOC02765,General Medicine,General Medicine General,14,6,No,9.5,General Medicine Cases,719,64
DOC02766,General Medicine,General Medicine General,4,6,No,5.9,General Medicine Cases,3667,58
DOC02767,General Medicine,General Medicine General,4,6,No,6.1,General Medicine Cases,4127,68
DOC02768,General Medicine,General Medicine General,7,6,No,7.6,General Medicine Cases,4196,71
DOC02769,General Medicine,General Medicine General,24,6,No,10.0,General Medicine Cases,3485,49
DOC02770,General Medicine,General Medicine General,18,6,No,9.2,General Medicine Cases,1143,56
DOC02771,General Medicine,General Medicine General,24,6,No,10.0,General Medicine Cases,4833,69
DOC02772,General Medicine,General Medicine General,1,6,No,6.0,General Medicine Cases,2351,60
DOC02773,General Medicine,General Medicine General,1,6,No,5.1,General Medicine Cases,3403,57
DOC02774,General Medicine,General Medicine General,3,6,No,5.7,General Medicine Cases,4075,40
DOC02775,General Medicine,General Medicine General,19,6,No,10.0,General Medicine Cases,2830,45
DOC02776,General Medicine,General Medicine General,11,6,No,8.5,General Medicine Cases,1873,54
DOC02777,General Medicine,General Medicine General,4,6,No,6.3,General Medicine Cases,3133,71
DOC02778,General Medicine,General Medicine General,5,6,No,6.5,General Medicine Cases,4127,64
DOC02779,General Medicine,General Medicine General,4,6,No,5.6,General Medicine Cases,1015,54
DOC02780,General Medicine,General Medicine General,14,6,No,9.2,General Medicine Cases,4342,52
DOC02781,General Medicine,General Medicine General,13,6,No,8.2,General Medicine Cases,1262,40
DOC02782,General Medicine,General Medicine General,18,6,No,10.0,General Medicine Cases,2428,77
DOC02783,General Medicine,General Medicine General,2,6,No,6.9,General Medicine Cases,4937,76
DOC02784,General Medicine,General Medicine General,20,6,No,9.7,General Medicine Cases,1224,65
DOC02785,General Medicine,General Medicine General,6,6,No,7.6,General Medicine Cases,575,55
DOC02786,General Medicine,General Medicine General,14,6,No,8.7,General Medicine Cases,2302,63
DOC02787,General Medicine,General Medicine General,10,6,No,8.1,General Medicine Cases,556,77
DOC02788,General Medicine,General Medicine General,5,6,No,5.9,General Medicine Cases,525,46
DOC02789,General Medicine,General Medicine General,2,6,No,5.5,General Medicine Cases,1835,69
DOC02790,General Medicine,General Medicine General,4,6,No,7.2,General Medicine Cases,1670,66
DOC02791,General Medicine,General Medicine General,4,6,No,7.5,General Medicine Cases,4218,55
DOC02792,General Medicine,General Medicine General,14,6,No,8.3,General Medicine Cases,2638,49
DOC02793,General Medicine,General Medicine General,10,6,No,8.6,General Medicine Cases,1048,71
DOC02794,General Medicine,General Medicine General,12,6,No,8.2,General Medicine Cases,1263,57
DOC02795,General Medicine,General Medicine General,35,6,No,10.0,General Medicine Cases,2014,78
DOC02796,General Medicine,General Medicine General,1,6,No,6.0,General Medicine Cases,1946,58
DOC02797,General Medicine,General Medicine General,9,6,No,8.6,General Medicine Cases,1368,73
DOC02798,General Medicine,General Medicine General,5,6,No,6.9,General Medicine Cases,2662,78
DOC02799,General Medicine,General Medicine General,2,6,No,6.0,General Medicine Cases,3373,65
DOC02800,General Medicine,General Medicine General,2,6,No,5.5,General Medicine Cases,1705,71
DOC02801,General Medicine,General Medicine General,13,6,No,9.5,General Medicine Cases,557,55
DOC02802,General Medicine,General Medicine General,13,6,No,9.2,General Medicine Cases,2538,73
DOC02803,General Medicine,General Medicine General,3,6,No,5.8,General Medicine Cases,2288,58
DOC02804,General Medicine,General Medicine General,3,6,No,7.2,General Medicine Cases,2337,69
DOC02805,General Medicine,General Medicine General,17,6,No,10.0,General Medicine Cases,2846,62
DOC02806,General Medicine,General Medicine General,21,6,No,10.0,General Medicine Cases,4646,70
DOC02807,General Medicine,General Medicine General,2,6,No,6.8,General Medicine Cases,798,50
DOC02808,General Medicine,General Medicine General,20,6,No,9.6,General Medicine Cases,1095,75
DOC02809,General Medicine,General Medicine General,6,6,No,8.0,General Medicine Cases,1236,79
DOC02810,General Medicine,General Medicine General,23,6,No,10.0,General Medicine Cases,3209,71
DOC02811,General Medicine,General Medicine General,34,6,No,10.0,General Medicine Cases,2765,78
DOC02812,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,3368,78
DOC02813,General Medicine,General Medicine General,3,6,No,6.4,General Medicine Cases,2413,55
DOC02814,General Medicine,General Medicine General,1,6,No,6.7,General Medicine Cases,2689,53
DOC02815,General Medicine,General Medicine General,2,6,No,6.7,General Medicine Cases,2914,41
DOC02816,General Medicine,General Medicine General,7,6,No,6.6,General Medicine Cases,2470,45
DOC02817,General Medicine,General Medicine General,23,6,No,10.0,General Medicine Cases,4389,76
DOC02818,General Medicine,General Medicine General,2,6,No,5.9,General Medicine Cases,2815,40
DOC02819,General Medicine,General Medicine General,4,6,No,6.0,General Medicine Cases,4879,64
DOC02820,General Medicine,General Medicine General,3,6,No,6.3,General Medicine Cases,3937,74
DOC02821,General Medicine,General Medicine General,1,6,No,6.7,General Medicine Cases,1825,69
DOC02822,General Medicine,General Medicine General,5,6,No,5.9,General Medicine Cases,2672,43
DOC02823,General Medicine,General Medicine General,2,6,No,5.9,General Medicine Cases,1982,76
DOC02824,General Medicine,General Medicine General,6,6,No,6.5,General Medicine Cases,4288,44
DOC02825,General Medicine,General Medicine General,12,6,No,8.8,General Medicine Cases,3272,47
DOC02826,General Medicine,General Medicine General,3,6,No,7.1,General Medicine Cases,2515,66
DOC02827,General Medicine,General Medicine General,2,6,No,5.5,General Medicine Cases,2334,50
DOC02828,General Medicine,General Medicine General,15,6,No,10.0,General Medicine Cases,4266,40
DOC02829,General Medicine,General Medicine General,1,6,No,5.5,General Medicine Cases,2216,55
DOC02830,General Medicine,General Medicine General,25,6,No,10.0,General Medicine Cases,4888,49
DOC02831,General Medicine,General Medicine General,1,6,No,6.7,General Medicine Cases,2322,71
DOC02832,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,1267,63
DOC02833,General Medicine,General Medicine General,12,6,No,9.2,General Medicine Cases,2550,59
DOC02834,General Medicine,General Medicine General,9,6,No,7.9,General Medicine Cases,1844,53
DOC02835,General Medicine,General Medicine General,10,6,No,8.5,General Medicine Cases,2573,70
DOC02836,General Medicine,General Medicine General,27,6,No,10.0,General Medicine Cases,4461,67
DOC02837,General Medicine,General Medicine General,10,6,No,7.5,General Medicine Cases,4895,72
DOC02838,General Medicine,General Medicine General,9,6,No,8.2,General Medicine Cases,3437,64
DOC02839,General Medicine,General Medicine General,10,6,No,7.4,General Medicine Cases,680,48
DOC02840,General Medicine,General Medicine General,7,6,No,8.1,General Medicine Cases,1163,48
DOC02841,General Medicine,General Medicine General,13,6,No,9.5,General Medicine Cases,2700,75
DOC02842,General Medicine,General Medicine General,14,6,No,9.4,General Medicine Cases,2640,61
DOC02843,General Medicine,General Medicine General,10,6,No,7.4,General Medicine Cases,4844,46
DOC02844,General Medicine,General Medicine General,2,6,No,6.6,General Medicine Cases,4525,44
DOC02845,General Medicine,General Medicine General,19,6,No,10.0,General Medicine Cases,1143,79
DOC02846,General Medicine,General Medicine General,3,6,No,7.1,General Medicine Cases,3716,59
DOC02847,General Medicine,General Medicine General,1,6,No,6.4,General Medicine Cases,4150,46
DOC02848,General Medicine,General Medicine General,4,6,No,5.9,General Medicine Cases,1792,45
DOC02849,General Medicine,General Medicine General,18,6,No,9.7,General Medicine Cases,3613,56
DOC02850,General Medicine,General Medicine General,6,6,No,7.4,General Medicine Cases,3402,61
DOC02851,General Medicine,General Medicine General,21,6,No,10.0,General Medicine Cases,672,58
DOC02852,General Medicine,General Medicine General,3,6,No,5.8,General Medicine Cases,4900,54
DOC02853,General Medicine,General Medicine General,29,6,No,10.0,General Medicine Cases,1225,73
DOC02854,General Medicine,General Medicine General,7,6,No,7.4,General Medicine Cases,1852,70
DOC02855,General Medicine,General Medicine General,11,6,No,7.8,General Medicine Cases,2628,68
DOC02856,General Medicine,General Medicine General,3,6,No,6.1,General Medicine Cases,3517,61
DOC02857,General Medicine,General Medicine General,11,6,No,7.9,General Medicine Cases,4198,46
DOC02858,General Medicine,General Medicine General,1,6,No,5.2,General Medicine Cases,2100,58
DOC02859,General Medicine,General Medicine General,18,6,No,10.0,General Medicine Cases,3753,69
DOC02860,General Medicine,General Medicine General,15,6,No,8.9,General Medicine Cases,2856,70
DOC02861,General Medicine,General Medicine General,26,6,No,10.0,General Medicine Cases,4258,52
DOC02862,General Medicine,General Medicine General,12,6,No,8.2,General Medicine Cases,1026,55
DOC02863,General Medicine,General Medicine General,21,6,No,10.0,General Medicine Cases,3828,49
DOC02864,General Medicine,General Medicine General,2,6,No,6.1,General Medicine Cases,2244,77
DOC02865,General Medicine,General Medicine General,7,6,No,7.7,General Medicine Cases,4324,51
DOC02866,General Medicine,General Medicine General,5,6,No,6.3,General Medicine Cases,2453,50
DOC02867,General Medicine,General Medicine General,3,6,No,5.5,General Medicine Cases,899,40
DOC02868,General Medicine,General Medicine General,28,6,No,10.0,General Medicine Cases,2165,64
DOC02869,General Medicine,General Medicine General,6,6,No,6.6,General Medicine Cases,3364,46
DOC02870,General Medicine,General Medicine General,6,6,No,7.0,General Medicine Cases,2036,63
DOC02871,General Medicine,General Medicine General,14,6,No,9.7,General Medicine Cases,4098,68
DOC02872,General Medicine,General Medicine General,20,6,No,10.0,General Medicine Cases,2433,59
DOC02873,General Medicine,General Medicine General,6,6,No,6.9,General Medicine Cases,892,49
DOC02874,General Medicine,General Medicine General,11,6,No,7.6,General Medicine Cases,3077,50
DOC02875,General Medicine,General Medicine General,27,6,No,10.0,General Medicine Cases,3431,56
DOC02876,General Medicine,General Medicine General,9,6,No,7.3,General Medicine Cases,1846,56
DOC02877,General Medicine,General Medicine General,4,6,No,6.8,General Medicine Cases,964,57
DOC02878,General Medicine,General Medicine General,16,6,No,9.3,General Medicine Cases,4330,68
DOC02879,General Medicine,General Medicine General,6,6,No,7.2,General Medicine Cases,2856,40
DOC02880,General Medicine,General Medicine General,10,6,No,7.1,General Medicine Cases,3648,75
DOC02881,General Medicine,General Medicine General,6,6,No,6.4,General Medicine Cases,3671,77
DOC02882,General Medicine,General Medicine General,8,6,No,8.4,General Medicine Cases,736,62
DOC02883,General Medicine,General Medicine General,3,6,No,6.1,General Medicine Cases,2867,77
DOC02884,General Medicine,General Medicine General,6,6,No,7.5,General Medicine Cases,4544,76
DOC02885,General Medicine,General Medicine General,1,6,No,6.0,General Medicine Cases,4561,48
DOC02886,General Medicine,General Medicine General,11,6,No,7.3,General Medicine Cases,3888,45
DOC02887,General Medicine,General Medicine General,6,6,No,7.2,General Medicine Cases,1975,70
DOC02888,General Medicine,General Medicine General,5,6,No,7.5,General Medicine Cases,831,41
DOC02889,General Medicine,General Medicine General,5,6,No,7.5,General Medicine Cases,4302,56
DOC02890,General Medicine,General Medicine General,3,6,No,6.5,General Medicine Cases,3045,40
DOC02891,General Medicine,General Medicine General,13,6,No,9.2,General Medicine Cases,4847,52
DOC02892,General Medicine,General Medicine General,20,6,No,10.0,General Medicine Cases,777,44
DOC02893,General Medicine,General Medicine General,3,6,No,5.3,General Medicine Cases,4744,41
DOC02894,General Medicine,General Medicine General,6,6,No,7.5,General Medicine Cases,4832,40
DOC02895,General Medicine,General Medicine General,6,6,No,7.8,General Medicine Cases,3679,71
DOC02896,General Medicine,General Medicine General,12,6,No,8.1,General Medicine Cases,4049,43
DOC02897,General Medicine,General Medicine General,10,6,No,8.3,General Medicine Cases,4500,69
DOC02898,General Medicine,General Medicine General,6,6,No,7.8,General Medicine Cases,1081,68
DOC02899,General Medicine,General Medicine General,5,6,No,7.7,General Medicine Cases,554,56
DOC02900,General Medicine,General Medicine General,4,6,No,6.4,General Medicine Cases,1225,44
DOC02901,General Medicine,General Medicine General,9,6,No,7.8,General Medicine Cases,1806,41
DOC02902,General Medicine,General Medicine General,11,6,No,8.8,General Medicine Cases,874,67
DOC02903,General Medicine,General Medicine General,1,6,No,5.1,General Medicine Cases,1515,50
DOC02904,General Medicine,General Medicine General,11,6,No,8.6,General Medicine Cases,612,55
DOC02905,General Medicine,General Medicine General,3,6,No,6.9,General Medicine Cases,4523,64
DOC02906,General Medicine,General Medicine General,10,6,No,7.4,General Medicine Cases,1924,53
DOC02907,General Medicine,General Medicine General,13,6,No,8.3,General Medicine Cases,2507,55
DOC02908,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,4876,64
DOC02909,General Medicine,General Medicine General,12,6,No,9.4,General Medicine Cases,2777,60
DOC02910,General Medicine,General Medicine General,6,6,No,6.4,General Medicine Cases,2056,57
DOC02911,General Medicine,General Medicine General,12,6,No,9.5,General Medicine Cases,4960,53
DOC02912,General Medicine,General Medicine General,10,6,No,7.6,General Medicine Cases,1202,61
DOC02913,General Medicine,General Medicine General,5,6,No,7.7,General Medicine Cases,3778,77
DOC02914,General Medicine,General Medicine General,10,6,No,7.6,General Medicine Cases,3971,48
DOC02915,General Medicine,General Medicine General,12,6,No,8.7,General Medicine Cases,2621,60
DOC02916,General Medicine,General Medicine General,2,6,No,5.4,General Medicine Cases,733,75
DOC02917,General Medicine,General Medicine General,2,6,No,5.5,General Medicine Cases,4677,53
DOC02918,General Medicine,General Medicine General,4,6,No,7.0,General Medicine Cases,3018,62
DOC02919,General Medicine,General Medicine General,1,6,No,5.2,General Medicine Cases,1861,77
DOC02920,General Medicine,General Medicine General,2,6,No,6.9,General Medicine Cases,1796,50
DOC02921,General Medicine,General Medicine General,36,6,No,10.0,General Medicine Cases,1354,54
DOC02922,General Medicine,General Medicine General,2,6,No,5.9,General Medicine Cases,1230,54
DOC02923,General Medicine,General Medicine General,14,6,No,8.5,General Medicine Cases,3270,62
DOC02924,General Medicine,General Medicine General,5,6,No,6.3,General Medicine Cases,1126,74
DOC02925,General Medicine,General Medicine General,1,6,No,5.4,General Medicine Cases,1285,48
DOC02926,General Medicine,General Medicine General,1,6,No,5.1,General Medicine Cases,3789,74
DOC02927,General Medicine,General Medicine General,3,6,No,7.1,General Medicine Cases,1747,46
DOC02928,General Medicine,General Medicine General,6,6,No,6.9,General Medicine Cases,1607,40
DOC02929,General Medicine,General Medicine General,2,6,No,6.1,General Medicine Cases,650,58
DOC02930,General Medicine,General Medicine General,10,6,No,7.3,General Medicine Cases,1789,62
DOC02931,General Medicine,General Medicine General,24,6,No,10.0,General Medicine Cases,3789,64
DOC02932,General Medicine,General Medicine General,3,6,No,6.5,General Medicine Cases,1871,48
DOC02933,General Medicine,General Medicine General,18,6,No,9.4,General Medicine Cases,4353,64
DOC02934,General Medicine,General Medicine General,9,6,No,7.7,General Medicine Cases,700,68
DOC02935,General Medicine,General Medicine General,5,6,No,7.7,General Medicine Cases,1130,43
DOC02936,General Medicine,General Medicine General,39,6,No,10.0,General Medicine Cases,3018,72
DOC02937,General Medicine,General Medicine General,5,6,No,6.6,General Medicine Cases,1405,51
DOC02938,General Medicine,General Medicine General,4,6,No,6.5,General Medicine Cases,2379,71
DOC02939,General Medicine,General Medicine General,39,6,No,10.0,General Medicine Cases,1423,49
DOC02940,General Medicine,General Medicine General,4,6,No,6.7,General Medicine Cases,2281,59
DOC02941,General Medicine,General Medicine General,8,6,No,6.7,General Medicine Cases,979,77
DOC02942,General Medicine,General Medicine General,2,6,No,6.4,General Medicine Cases,3828,62
DOC02943,General Medicine,General Medicine General,4,6,No,5.8,General Medicine Cases,4225,52
DOC02944,General Medicine,General Medicine General,15,6,No,10.0,General Medicine Cases,3017,55
DOC02945,General Medicine,General Medicine General,18,6,No,10.0,General Medicine Cases,1411,70
DOC02946,General Medicine,General Medicine General,8,6,No,8.2,General Medicine Cases,2556,51
DOC02947,General Medicine,General Medicine General,1,6,No,6.5,General Medicine Cases,1617,65
DOC02948,General Medicine,General Medicine General,3,6,No,5.6,General Medicine Cases,546,68
DOC02949,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,3079,59
DOC02950,General Medicine,General Medicine General,11,6,No,8.0,General Medicine Cases,4073,74
DOC02951,General Medicine,General Medicine General,18,6,No,9.9,General Medicine Cases,4001,47
DOC02952,General Medicine,General Medicine General,8,6,No,8.3,General Medicine Cases,1658,59
DOC02953,General Medicine,General Medicine General,3,6,No,7.2,General Medicine Cases,1953,66
DOC02954,General Medicine,General Medicine General,3,6,No,6.8,General Medicine Cases,4013,44
DOC02955,General Medicine,General Medicine General,12,6,No,7.8,General Medicine Cases,3135,72
DOC02956,General Medicine,General Medicine General,17,6,No,10.0,General Medicine Cases,2756,79
DOC02957,General Medicine,General Medicine General,14,6,No,9.7,General Medicine Cases,1803,75
DOC02958,General Medicine,General Medicine General,14,6,No,9.5,General Medicine Cases,4234,54
DOC02959,General Medicine,General Medicine General,12,6,No,9.0,General Medicine Cases,3039,68
DOC02960,General Medicine,General Medicine General,4,6,No,6.3,General Medicine Cases,2092,45
DOC02961,General Medicine,General Medicine General,1,6,No,6.4,General Medicine Cases,1878,48
DOC02962,General Medicine,General Medicine General,1,6,No,5.5,General Medicine Cases,3161,55
DOC02963,General Medicine,General Medicine General,2,6,No,5.6,General Medicine Cases,1957,76
DOC02964,General Medicine,General Medicine General,3,6,No,5.7,General Medicine Cases,1710,75
DOC02965,General Medicine,General Medicine General,11,6,No,8.7,General Medicine Cases,2112,61
DOC02966,General Medicine,General Medicine General,16,6,No,9.1,General Medicine Cases,1297,60
DOC02967,General Medicine,General Medicine General,15,6,No,8.3,General Medicine Cases,4864,79
DOC02968,General Medicine,General Medicine General,4,6,No,6.1,General Medicine Cases,4396,54
DOC02969,General Medicine,General Medicine General,16,6,No,9.8,General Medicine Cases,1903,40
DOC02970,General Medicine,General Medicine General,2,6,No,6.1,General Medicine Cases,3204,69
DOC02971,General Medicine,General Medicine General,1,6,No,6.0,General Medicine Cases,2422,45
DOC02972,General Medicine,General Medicine General,3,6,No,7.2,General Medicine Cases,4185,77
DOC02973,General Medicine,General Medicine General,6,6,No,6.3,General Medicine Cases,2571,49
DOC02974,General Medicine,General Medicine General,5,6,No,6.4,General Medicine Cases,4220,64
DOC02975,General Medicine,General Medicine General,7,6,No,6.8,General Medicine Cases,1513,66
DOC02976,General Medicine,General Medicine General,2,6,No,6.6,General Medicine Cases,3097,66
DOC02977,General Medicine,General Medicine General,16,6,No,10.0,General Medicine Cases,2068,60
DOC02978,General Medicine,General Medicine General,38,6,No,10.0,General Medicine Cases,4784,50
DOC02979,General Medicine,General Medicine General,4,6,No,7.2,General Medicine Cases,1936,79
DOC02980,General Medicine,General Medicine General,10,6,No,8.4,General Medicine Cases,1178,42
DOC02981,General Medicine,General Medicine General,18,6,No,10.0,General Medicine Cases,2273,71
DOC02982,General Medicine,General Medicine General,20,6,No,9.9,General Medicine Cases,863,40
DOC02983,General Medicine,General Medicine General,10,6,No,8.9,General Medicine Cases,781,47
DOC02984,General Medicine,General Medicine General,4,6,No,6.9,General Medicine Cases,998,65
DOC02985,General Medicine,General Medicine General,20,6,No,10.0,General Medicine Cases,2429,50
DOC02986,General Medicine,General Medicine General,5,6,No,5.8,General Medicine Cases,4269,61
DOC02987,General Medicine,General Medicine General,19,6,No,10.0,General Medicine Cases,1894,65
DOC02988,General Medicine,General Medicine General,4,6,No,5.8,General Medicine Cases,3115,53
DOC02989,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,3635,57
DOC02990,General Medicine,General Medicine General,5,6,No,7.4,General Medicine Cases,1211,48
DOC02991,General Medicine,General Medicine General,1,6,No,5.0,General Medicine Cases,2088,49
DOC02992,General Medicine,General Medicine General,4,6,No,7.4,General Medicine Cases,3004,58
DOC02993,General Medicine,General Medicine General,1,6,No,6.3,General Medicine Cases,4495,69
DOC02994,General Medicine,General Medicine General,6,6,No,6.0,General Medicine Cases,1955,73
DOC02995,General Medicine,General Medicine General,14,6,No,8.6,General Medicine Cases,1553,49
DOC02996,General Medicine,General Medicine General,3,6,No,5.8,General Medicine Cases,648,55
DOC02997,General Medicine,General Medicine General,8,6,No,7.5,General Medicine Cases,3058,58
DOC02998,General Medicine,General Medicine General,2,6,No,6.5,General Medicine Cases,1203,53
DOC02999,General Medicine,General Medicine General,5,6,No,6.3,General Medicine Cases,2814,68
DOC03000,General Medicine,General Medicine General,8,6,No,7.6,General Medicine Cases,1250,56
DOC03001,General Medicine,General Medicine General,19,6,No,10.0,General Medicine Cases,4715,45
DOC03002,General Medicine,General Medicine General,11,6,No,9.0,General Medicine Cases,620,65
DOC03003,General Medicine,General Medicine General,22,6,No,10.0,General Medicine Cases,2095,42
DOC03004,General Medicine,General Medicine General,20,6,No,10.0,General Medicine Cases,4125,68
DOC03005,General Medicine,General Medicine General,6,6,No,7.8,General Medicine Cases,1241,51
DOC03006,General Medicine,General Medicine General,7,6,No,7.1,General Medicine Cases,4768,60
DOC03007,General Medicine,General Medicine General,6,6,No,6.2,General Medicine Cases,3397,73
DOC03008,General Medicine,General Medicine General,16,6,No,9.1,General Medicine Cases,2087,52
DOC03009,General Medicine,General Medicine General,5,6,No,5.8,General Medicine Cases,4762,69
DOC03010,General Medicine,General Medicine General,14,6,No,9.6,General Medicine Cases,1061,68
DOC03011,General Medicine,General Medicine General,24,6,No,10.0,General Medicine Cases,705,74
DOC03012,General Medicine,General Medicine General,8,6,No,6.7,General Medicine Cases,2153,71
DOC03013,General Medicine,General Medicine General,8,6,No,6.6,General Medicine Cases,3464,79
DOC03014,General Medicine,General Medicine General,13,6,No,8.0,General Medicine Cases,3071,57
DOC03015,General Medicine,General Medicine General,2,6,No,5.9,General Medicine Cases,3090,45
DOC03016,General Medicine,General Medicine General,6,6,No,7.8,General Medicine Cases,3462,66
DOC03017,General Medicine,General Medicine General,11,6,No,7.8,General Medicine Cases,3504,72
DOC03018,General Medicine,General Medicine General,38,6,No,10.0,General Medicine Cases,3269,61
DOC03019,General Medicine,General Medicine General,6,6,No,7.1,General Medicine Cases,1231,56
DOC03020,General Medicine,General Medicine General,5,6,No,6.8,General Medicine Cases,3735,72
DOC03021,General Medicine,General Medicine General,5,6,No,5.8,General Medicine Cases,2905,66
DOC03022,General Medicine,General Medicine General,2,6,No,5.0,General Medicine Cases,1998,51
DOC03023,General Medicine,General Medicine General,1,6,No,5.1,General Medicine Cases,1799,61
