Condition_ID,Condition_Name,Condition_Category,Base_Severity_Score,Default_Department,Emergency_Flag,Contagious_Flag,Max_Recommended_Wait_Time_Minutes,Mortality_Risk_Level,Progression_Speed
COND02526,Epilepsy Severe Ischemic,Neurological,2,ICU,No,No,149,Moderate,Moderate
COND02527,Gastritis Chronic Type A,Gastrointestinal,4,Neurology,No,No,31,Moderate,Moderate
COND02528,Liver Failure Mild Type A,Gastrointestinal,3,Orthopedics,No,No,43,Moderate,Moderate
COND02529,Migraine Chronic Secondary,Neurological,8,Neurology,No,No,17,Moderate,Slow
COND02530,Valvular Disease Chronic Stage 3,Cardiac,9,Surgery,No,No,34,Low,Slow
COND02531,Bowel Obstruction Severe Uncomplicated,Gastrointestinal,6,Infectious Disease,No,No,139,Moderate,Slow
COND02532,Alzheimers Severe Generalized,Neurological,10,Gastroenterology,No,No,116,Low,Moderate
COND02533,Bronchitis Moderate Bacterial,Respiratory,7,Surgery,Yes,No,94,Low,Moderate
COND02534,Pneumonia Active Viral,Respiratory,4,Neurology,No,No,62,Moderate,Slow
COND02535,Blood Infection Moderate Gram Negative,Infection,4,Surgery,No,No,177,Low,Moderate
COND02536,Dislocation Moderate Closed,Trauma,10,Orthopedics,Yes,No,133,Low,Slow
COND02537,Pneumonia Severe Bacterial,Respiratory,4,Cardiology,Yes,No,103,Low,Moderate
COND02538,Stroke Mild Ischemic,Neurological,3,Pulmonology,No,No,117,Low,Slow
COND02539,Multiple Sclerosis Chronic Secondary,Neurological,5,Infectious Disease,No,No,148,Low,Moderate
COND02540,Stroke Acute Hemorrhagic,Neurological,3,Neurology,No,No,27,Low,Moderate
COND02541,Seizure Chronic Focal,Neurological,4,Pulmonology,No,No,166,Moderate,Fast
COND02542,Vertigo Mild Hemorrhagic,Neurological,4,Pulmonology,Yes,No,61,High,Moderate
COND02543,Pneumonia Chronic Fungal,Respiratory,6,Cardiology,No,No,145,Low,Slow
COND02544,Atrial Fibrillation Moderate Type B,Cardiac,8,Gastroenterology,No,No,49,Low,Fast
COND02545,Respiratory Distress Syndrome Moderate Viral,Respiratory,10,Gastroenterology,Yes,No,164,Low,Fast
COND02546,Neuropathy Chronic Primary,Neurological,4,Infectious Disease,No,Yes,91,Moderate,Slow
COND02547,Bacterial Infection Severe Gram Positive,Infection,10,Pulmonology,Yes,Yes,59,Moderate,Slow
COND02548,Pleural Effusion Chronic Type 2,Respiratory,9,Orthopedics,No,No,85,Low,Moderate
COND02549,Dislocation Severe 1st Degree,Trauma,8,Orthopedics,No,No,147,High,Slow
COND02550,Burn Major 3rd Degree,Trauma,4,Infectious Disease,No,No,143,Low,Moderate
COND02551,Hepatitis Mild Type C,Gastrointestinal,9,Pulmonology,No,No,175,Moderate,Fast
COND02552,Migraine Acute Secondary,Neurological,3,General Medicine,No,No,1,Low,Fast
COND02553,Lung Cancer Mild Type 1,Respiratory,10,Neurology,Yes,Yes,37,Low,Moderate
COND02554,Laceration Moderate 3rd Degree,Trauma,8,Infectious Disease,Yes,Yes,5,Low,Slow
COND02555,Cardiomyopathy Mild Stage 2,Cardiac,4,ICU,No,No,135,Low,Moderate
COND02556,Multiple Sclerosis Mild Generalized,Neurological,2,Pulmonology,Yes,No,130,Low,Slow
COND02557,Brain Tumor Severe Primary,Neurological,9,Surgery,No,No,11,Low,Moderate
COND02558,Spinal Injury Moderate Compound,Trauma,5,Infectious Disease,No,No,51,Low,Moderate
COND02559,Viral Fever Chronic Gram Positive,Infection,5,Neurology,No,No,61,Low,Slow
COND02560,Pleural Effusion Moderate Viral,Respiratory,9,Orthopedics,Yes,Yes,20,High,Fast
COND02561,Respiratory Distress Syndrome Moderate Type 1,Respiratory,5,Infectious Disease,No,No,106,Moderate,Moderate
COND02562,Influenza Severe Type 2,Respiratory,7,Cardiology,No,No,33,Low,Slow
COND02563,Asthma Severe Type 1,Respiratory,4,ICU,No,No,27,Low,Fast
COND02564,Migraine Mild Ischemic,Neurological,2,Surgery,No,No,99,Low,Moderate
COND02565,Diverticulitis Severe Complicated,Gastrointestinal,8,Surgery,Yes,No,48,Low,Slow
COND02566,Cellulitis Acute Resistant,Infection,3,Surgery,Yes,Yes,100,Moderate,Slow
COND02567,Epilepsy Moderate Ischemic,Neurological,8,Pulmonology,No,No,171,Moderate,Slow
COND02568,Malaria Mild Gram Positive,Infection,10,Gastroenterology,No,No,80,Moderate,Fast
COND02569,Coronary Artery Disease Unstable Type B,Cardiac,3,General Medicine,No,No,121,Low,Fast
COND02570,Bronchitis Acute Bacterial,Respiratory,9,Gastroenterology,No,No,155,Low,Fast
COND02571,Pericarditis Severe Grade II,Cardiac,3,Gastroenterology,Yes,No,176,Low,Slow
COND02572,Epilepsy Progressive Secondary,Neurological,5,General Medicine,Yes,No,138,Low,Moderate
COND02573,Tuberculosis Latent Exacerbation,Respiratory,3,ICU,No,No,72,Low,Fast
COND02574,Stroke Severe Focal,Neurological,5,Gastroenterology,No,No,58,Low,Moderate
COND02575,Cellulitis Chronic Gram Positive,Infection,5,Surgery,No,Yes,57,Low,Fast
COND02576,Internal Bleeding Minor 3rd Degree,Trauma,7,Orthopedics,Yes,No,158,Low,Moderate
COND02577,Pneumothorax Active Exacerbation,Respiratory,10,Neurology,No,No,178,Low,Slow
COND02578,Malaria Chronic Community Acquired,Infection,7,Surgery,No,No,157,Low,Moderate
COND02579,Concussion Acute Focal,Neurological,8,Neurology,Yes,No,6,Low,Fast
COND02580,Fungal Infection Recurrent Community Acquired,Infection,9,Neurology,Yes,No,97,Low,Slow
COND02581,Abscess Chronic Gram Positive,Infection,2,Gastroenterology,No,Yes,177,Low,Fast
COND02582,Tuberculosis Severe Exacerbation,Respiratory,8,Emergency,No,No,52,Low,Fast
COND02583,Fungal Infection Recurrent Resistant,Infection,9,Gastroenterology,Yes,No,39,Low,Moderate
COND02584,Laryngitis Moderate Exacerbation,Respiratory,2,Orthopedics,No,No,139,Low,Slow
COND02585,Internal Bleeding Severe Compound,Trauma,2,Infectious Disease,Yes,No,16,Moderate,Fast
COND02586,Angina Chronic Grade I,Cardiac,9,Gastroenterology,No,No,175,Low,Fast
COND02587,Gastritis Mild Uncomplicated,Gastrointestinal,10,Infectious Disease,Yes,No,58,Low,Fast
COND02588,Cellulitis Moderate Community Acquired,Infection,10,Cardiology,No,No,111,Moderate,Slow
COND02589,IBS Chronic Complicated,Gastrointestinal,5,Cardiology,No,No,33,Moderate,Slow
COND02590,Alzheimers Moderate Secondary,Neurological,7,General Medicine,Yes,No,136,Low,Slow
COND02591,Cardiomyopathy Acute Grade I,Cardiac,6,Emergency,No,No,123,Moderate,Slow
COND02592,Crush Injury Moderate Open,Trauma,4,Pulmonology,Yes,No,117,Moderate,Slow
COND02593,Asthma Moderate Fungal,Respiratory,4,Neurology,No,Yes,157,Low,Moderate
COND02594,Respiratory Distress Syndrome Active Type 2,Respiratory,6,Cardiology,No,No,123,Low,Slow
COND02595,Sepsis Mild Gram Positive,Infection,8,Pulmonology,Yes,No,168,High,Slow
COND02596,Vertigo Moderate Generalized,Neurological,8,Pulmonology,No,No,87,Moderate,Slow
COND02597,Atrial Fibrillation Mild Stage 2,Cardiac,4,Surgery,No,No,6,Low,Slow
COND02598,Laceration Moderate 3rd Degree,Trauma,9,Neurology,No,No,110,Low,Moderate
COND02599,Pleural Effusion Severe Type 1,Respiratory,10,Surgery,Yes,No,96,Low,Slow
COND02600,Respiratory Distress Syndrome Mild Viral,Respiratory,3,ICU,No,No,170,Moderate,Fast
COND02601,Spinal Injury Severe Closed,Trauma,9,Emergency,Yes,No,4,Low,Fast
COND02602,Pharyngitis Acute Type 1,Respiratory,7,Infectious Disease,No,No,37,Low,Slow
COND02603,Lung Cancer Severe Type 2,Respiratory,5,Surgery,No,No,127,Low,Moderate
COND02604,Abscess Chronic Gram Positive,Infection,4,Cardiology,No,No,7,Low,Fast
COND02605,Neuropathy Moderate Focal,Neurological,2,General Medicine,Yes,No,77,Low,Slow
COND02606,Blood Infection Moderate Community Acquired,Infection,10,Neurology,No,No,160,Low,Slow
COND02607,Laryngitis Moderate Type 1,Respiratory,3,Pulmonology,Yes,No,49,Moderate,Fast
COND02608,Crush Injury Major Simple,Trauma,9,Emergency,No,No,146,Moderate,Slow
COND02609,Pulmonary Fibrosis Severe Exacerbation,Respiratory,7,ICU,Yes,Yes,48,Low,Moderate
COND02610,Neuropathy Acute Secondary,Neurological,5,Neurology,No,No,52,Low,Slow
COND02611,Cellulitis Chronic Gram Positive,Infection,3,Gastroenterology,Yes,Yes,137,Low,Fast
COND02612,Arrhythmia Mild Stage 1,Cardiac,6,Orthopedics,Yes,No,13,Low,Fast
COND02613,Dengue Mild Gram Negative,Infection,8,ICU,No,No,97,Low,Moderate
COND02614,Peripheral Artery Disease Acute Type B,Cardiac,10,Surgery,Yes,No,76,Low,Slow
COND02615,Gastroenteritis Recurrent Community Acquired,Infection,2,Neurology,Yes,No,77,Low,Fast
COND02616,Sepsis Severe Resistant,Infection,3,Cardiology,No,No,30,Moderate,Fast
COND02617,Contusion Severe 2nd Degree,Trauma,6,Surgery,No,Yes,125,Low,Moderate
COND02618,Abscess Severe Gram Positive,Infection,6,ICU,No,No,32,Moderate,Fast
COND02619,Burn Moderate Closed,Trauma,5,Surgery,No,No,142,High,Moderate
COND02620,Vertigo Chronic Hemorrhagic,Neurological,6,Emergency,Yes,No,161,Moderate,Moderate
COND02621,Pancreatitis Chronic Type C,Gastrointestinal,4,Cardiology,Yes,No,60,Low,Slow
COND02622,Bowel Obstruction Moderate Type B,Gastrointestinal,4,Cardiology,No,No,95,Low,Moderate
COND02623,Fracture Severe Closed,Trauma,8,Surgery,Yes,No,128,Low,Slow
COND02624,Seizure Chronic Secondary,Neurological,7,Emergency,Yes,No,126,Low,Slow
COND02625,Internal Bleeding Minor Simple,Trauma,3,Emergency,No,No,11,High,Moderate
COND02626,Internal Bleeding Major Simple,Trauma,4,General Medicine,No,No,121,Low,Slow
COND02627,Sepsis Chronic Gram Positive,Infection,8,Emergency,No,No,145,Moderate,Fast
COND02628,Fungal Infection Moderate Gram Negative,Infection,2,Gastroenterology,No,No,136,Low,Moderate
COND02629,Pleural Effusion Acute Bacterial,Respiratory,9,Orthopedics,No,No,101,Low,Slow
COND02630,Myocardial Infarction Severe Grade II,Cardiac,4,Cardiology,No,No,105,Moderate,Slow
COND02631,Bronchitis Latent Exacerbation,Respiratory,4,Pulmonology,No,No,120,Low,Slow
COND02632,Contusion Major Simple,Trauma,10,ICU,No,No,68,Low,Moderate
COND02633,Valvular Disease Severe Grade II,Cardiac,6,Infectious Disease,No,No,152,Moderate,Fast
COND02634,Sleep Apnea Moderate Type 1,Respiratory,4,Cardiology,No,Yes,19,Moderate,Moderate
COND02635,Pleural Effusion Acute Fungal,Respiratory,9,Gastroenterology,Yes,No,96,Low,Slow
COND02636,Pneumonia Moderate Exacerbation,Respiratory,6,Gastroenterology,No,No,88,Low,Fast
COND02637,Deep Vein Thrombosis Chronic Stage 3,Cardiac,7,Neurology,Yes,No,115,Low,Fast
COND02638,Hypertension Stable Stage 1,Cardiac,3,Emergency,No,No,63,Low,Moderate
COND02639,Pericarditis Moderate Grade III,Cardiac,6,Infectious Disease,Yes,No,148,Low,Fast
COND02640,UTI Recurrent Gram Negative,Infection,5,General Medicine,No,Yes,145,Low,Slow
COND02641,Valvular Disease Stable Stage 2,Cardiac,9,Pulmonology,Yes,No,89,Low,Moderate
COND02642,Seizure Progressive Secondary,Neurological,5,Gastroenterology,Yes,Yes,132,High,Slow
COND02643,Spinal Injury Major Compound,Trauma,3,Emergency,No,Yes,45,Moderate,Moderate
COND02644,Diverticulitis Moderate Complicated,Gastrointestinal,9,ICU,No,No,77,Low,Fast
COND02645,Burn Mild 1st Degree,Trauma,4,Emergency,No,Yes,130,Moderate,Slow
COND02646,Pneumonia Mild Bacterial,Respiratory,6,General Medicine,No,No,163,Low,Fast
COND02647,Laryngitis Latent Viral,Respiratory,7,Infectious Disease,No,No,138,High,Slow
COND02648,Angina Chronic Stage 1,Cardiac,4,Surgery,No,No,22,High,Slow
COND02649,Migraine Chronic Generalized,Neurological,10,Neurology,Yes,No,131,Moderate,Moderate
COND02650,Fracture Minor 2nd Degree,Trauma,2,Infectious Disease,No,No,93,Low,Slow
COND02651,Bacterial Infection Mild Gram Negative,Infection,7,General Medicine,No,No,133,Moderate,Moderate
COND02652,Neuropathy Acute Primary,Neurological,6,Orthopedics,No,No,82,Low,Fast
COND02653,Sprain Major Closed,Trauma,9,Gastroenterology,Yes,No,178,Low,Slow
COND02654,Migraine Chronic Primary,Neurological,5,Emergency,No,No,14,Moderate,Fast
COND02655,Burn Minor 1st Degree,Trauma,4,Orthopedics,No,No,20,Moderate,Slow
COND02656,IBD Chronic Complicated,Gastrointestinal,2,Emergency,No,No,56,Moderate,Slow
COND02657,Ventricular Tachycardia Acute Grade II,Cardiac,6,Emergency,Yes,No,158,Moderate,Fast
COND02658,Contusion Minor Closed,Trauma,10,Cardiology,No,Yes,54,Low,Slow
COND02659,Sleep Apnea Latent Viral,Respiratory,7,Neurology,No,No,102,Low,Moderate
COND02660,Pancreatitis Moderate Complicated,Gastrointestinal,8,General Medicine,No,No,95,Low,Slow
COND02661,Pleural Effusion Chronic Type 1,Respiratory,5,Pulmonology,No,Yes,98,Moderate,Moderate
COND02662,Hepatitis Severe Type C,Gastrointestinal,2,Infectious Disease,No,No,142,Low,Moderate
COND02663,Viral Fever Moderate Resistant,Infection,7,Surgery,No,No,139,Low,Slow
COND02664,Pulmonary Embolism Moderate Stage 2,Cardiac,4,Pulmonology,No,Yes,54,High,Slow
COND02665,Abscess Acute Community Acquired,Infection,10,Pulmonology,No,No,106,Low,Moderate
COND02666,Sepsis Acute Community Acquired,Infection,5,Cardiology,Yes,No,60,High,Moderate
COND02667,Alzheimers Mild Hemorrhagic,Neurological,4,ICU,No,No,82,Low,Slow
COND02668,Contusion Severe Simple,Trauma,10,Surgery,No,No,148,Moderate,Slow
COND02669,Multiple Sclerosis Severe Generalized,Neurological,3,ICU,No,No,169,High,Slow
COND02670,GERD Acute Type C,Gastrointestinal,9,Pulmonology,No,No,3,Moderate,Fast
COND02671,Spinal Injury Minor Closed,Trauma,10,Neurology,No,Yes,57,Moderate,Slow
COND02672,Myocardial Infarction Unstable Stage 1,Cardiac,10,Surgery,No,No,57,Low,Fast
COND02673,Cellulitis Acute Resistant,Infection,4,Orthopedics,Yes,No,69,High,Slow
COND02674,Typhoid Recurrent Gram Positive,Infection,10,Orthopedics,No,No,138,Low,Moderate
COND02675,Arrhythmia Moderate Grade I,Cardiac,4,Neurology,Yes,No,76,Moderate,Slow
COND02676,Typhoid Recurrent Resistant,Infection,10,ICU,No,No,11,Low,Slow
COND02677,Spinal Injury Severe 2nd Degree,Trauma,8,Emergency,No,No,42,Moderate,Moderate
COND02678,Head Injury Moderate 2nd Degree,Trauma,5,Neurology,No,Yes,40,Moderate,Moderate
COND02679,Emphysema Acute Fungal,Respiratory,9,Emergency,No,No,140,Moderate,Slow
COND02680,Contusion Severe 1st Degree,Trauma,4,Surgery,Yes,No,86,Low,Moderate
COND02681,Contusion Severe Closed,Trauma,4,Infectious Disease,Yes,No,66,Low,Moderate
COND02682,Gastritis Chronic Type A,Gastrointestinal,4,Cardiology,No,Yes,15,Low,Moderate
COND02683,Deep Vein Thrombosis Moderate Type B,Cardiac,9,ICU,No,No,158,Low,Slow
COND02684,Laryngitis Chronic Type 1,Respiratory,3,General Medicine,No,No,10,Moderate,Fast
COND02685,Sprain Mild 1st Degree,Trauma,5,Orthopedics,No,Yes,124,Moderate,Fast
COND02686,Cirrhosis Moderate Type A,Gastrointestinal,5,Cardiology,No,No,144,Low,Slow
COND02687,Crush Injury Severe 3rd Degree,Trauma,7,Pulmonology,No,No,84,Moderate,Moderate
COND02688,Brain Tumor Chronic Secondary,Neurological,2,Orthopedics,No,No,37,High,Slow
COND02689,Sprain Major Closed,Trauma,5,Surgery,No,No,87,Low,Moderate
COND02690,Arrhythmia Acute Stage 2,Cardiac,5,ICU,Yes,No,78,Moderate,Moderate
COND02691,Viral Fever Mild Community Acquired,Infection,4,Pulmonology,Yes,No,68,Low,Moderate
COND02692,Influenza Chronic Exacerbation,Respiratory,4,Pulmonology,No,No,111,Low,Fast
COND02693,Emphysema Chronic Type 2,Respiratory,10,Cardiology,Yes,No,123,Low,Fast
COND02694,Blood Infection Moderate Gram Negative,Infection,6,Neurology,No,No,102,Moderate,Slow
COND02695,Cardiomyopathy Unstable Grade II,Cardiac,3,General Medicine,No,No,36,Low,Fast
COND02696,Abscess Recurrent Gram Positive,Infection,8,Pulmonology,No,No,41,Moderate,Fast
COND02697,Coronary Artery Disease Acute Stage 2,Cardiac,10,Cardiology,No,No,39,Low,Fast
COND02698,TIA Severe Ischemic,Neurological,8,Infectious Disease,Yes,No,108,Low,Fast
COND02699,Emphysema Moderate Exacerbation,Respiratory,5,Cardiology,No,Yes,75,Low,Fast
COND02700,Angina Severe Type A,Cardiac,3,Infectious Disease,No,No,170,Low,Moderate
COND02701,Arrhythmia Chronic Type A,Cardiac,10,Orthopedics,No,No,79,Low,Moderate
COND02702,Peptic Ulcer Severe Complicated,Gastrointestinal,6,Surgery,No,Yes,88,Low,Moderate
COND02703,Alzheimers Moderate Focal,Neurological,6,Gastroenterology,Yes,Yes,60,Low,Moderate
COND02704,Dislocation Severe 3rd Degree,Trauma,9,Neurology,No,No,166,Moderate,Fast
COND02705,Neuropathy Moderate Generalized,Neurological,3,Infectious Disease,Yes,No,152,Moderate,Fast
COND02706,Pulmonary Embolism Unstable Stage 1,Cardiac,5,Cardiology,Yes,No,100,High,Fast
COND02707,Peripheral Artery Disease Unstable Stage 2,Cardiac,9,Pulmonology,No,No,31,Low,Moderate
COND02708,Arrhythmia Unstable Grade III,Cardiac,8,Neurology,No,No,65,Moderate,Moderate
COND02709,Multiple Sclerosis Mild Secondary,Neurological,3,Surgery,No,No,97,Low,Fast
COND02710,IBS Chronic Type A,Gastrointestinal,3,Gastroenterology,No,No,156,High,Moderate
COND02711,Pulmonary Embolism Unstable Type A,Cardiac,7,Gastroenterology,No,No,59,Moderate,Slow
COND02712,Spinal Injury Minor 1st Degree,Trauma,3,Surgery,Yes,No,164,Low,Slow
COND02713,Bacterial Infection Chronic Gram Positive,Infection,2,Gastroenterology,No,Yes,179,Moderate,Fast
COND02714,Abscess Recurrent Gram Positive,Infection,10,Orthopedics,Yes,No,109,Low,Slow
COND02715,Alzheimers Chronic Secondary,Neurological,7,Pulmonology,Yes,Yes,136,Low,Moderate
COND02716,Diverticulitis Mild Type A,Gastrointestinal,4,Pulmonology,No,No,143,Moderate,Slow
COND02717,Fungal Infection Severe Resistant,Infection,6,ICU,Yes,No,24,Moderate,Fast
COND02718,Dengue Acute Gram Positive,Infection,8,Surgery,No,No,138,Low,Fast
COND02719,Internal Bleeding Minor Closed,Trauma,7,Neurology,Yes,No,91,Low,Moderate
COND02720,Asthma Acute Type 1,Respiratory,6,Emergency,No,Yes,117,High,Fast
COND02721,COVID-19 Moderate Fungal,Respiratory,7,Neurology,No,No,115,Low,Slow
COND02722,Sprain Moderate 2nd Degree,Trauma,7,Cardiology,No,No,84,High,Slow
COND02723,Contusion Mild 2nd Degree,Trauma,2,Surgery,No,No,136,Low,Fast
COND02724,Valvular Disease Unstable Grade II,Cardiac,10,Infectious Disease,No,No,134,Low,Slow
COND02725,Pancreatitis Severe Complicated,Gastrointestinal,7,Orthopedics,No,No,45,Moderate,Slow
COND02726,Internal Bleeding Moderate 3rd Degree,Trauma,4,Neurology,No,Yes,108,Moderate,Fast
COND02727,Pleurisy Acute Fungal,Respiratory,3,Cardiology,No,No,5,Low,Moderate
COND02728,Heart Failure Severe Grade II,Cardiac,9,Cardiology,Yes,No,104,Low,Slow
COND02729,IBD Chronic Type C,Gastrointestinal,3,Orthopedics,No,No,103,Low,Slow
COND02730,Bowel Obstruction Acute Type C,Gastrointestinal,5,Emergency,No,No,149,Low,Slow
COND02731,Peptic Ulcer Chronic Complicated,Gastrointestinal,2,Orthopedics,Yes,No,76,Low,Slow
COND02732,Concussion Severe Secondary,Neurological,8,Pulmonology,No,No,16,Low,Moderate
COND02733,Gastritis Mild Uncomplicated,Gastrointestinal,10,Neurology,No,Yes,131,Low,Fast
COND02734,Deep Vein Thrombosis Acute Stage 3,Cardiac,8,Gastroenterology,No,No,7,Low,Slow
COND02735,Respiratory Distress Syndrome Latent Viral,Respiratory,2,Surgery,No,No,98,Low,Fast
COND02736,Spinal Injury Minor 1st Degree,Trauma,10,General Medicine,Yes,No,63,Low,Slow
COND02737,COPD Mild Fungal,Respiratory,8,General Medicine,No,No,105,Moderate,Moderate
COND02738,Bowel Obstruction Acute Type C,Gastrointestinal,5,Infectious Disease,No,Yes,139,Low,Fast
COND02739,Viral Fever Moderate Community Acquired,Infection,4,General Medicine,No,No,75,Low,Slow
COND02740,Head Injury Major 3rd Degree,Trauma,9,Gastroenterology,No,No,39,Moderate,Slow
COND02741,Pleural Effusion Latent Exacerbation,Respiratory,7,Neurology,No,Yes,140,Low,Moderate
COND02742,Fracture Minor 3rd Degree,Trauma,8,Surgery,No,No,91,Moderate,Moderate
COND02743,Head Injury Severe 3rd Degree,Trauma,3,Pulmonology,No,No,117,Low,Fast
COND02744,Deep Vein Thrombosis Severe Stage 2,Cardiac,6,Surgery,Yes,No,149,Low,Fast
COND02745,Concussion Moderate Generalized,Neurological,6,Cardiology,Yes,Yes,62,Low,Fast
COND02746,Bowel Obstruction Severe Type C,Gastrointestinal,10,Neurology,No,No,118,Low,Moderate
COND02747,Internal Bleeding Moderate Open,Trauma,2,Pulmonology,No,No,30,Low,Fast
COND02748,Concussion Mild Ischemic,Neurological,5,General Medicine,No,Yes,113,Low,Slow
COND02749,Viral Fever Moderate Gram Negative,Infection,3,Surgery,No,Yes,105,Moderate,Slow
COND02750,Spinal Injury Severe Closed,Trauma,8,Neurology,No,Yes,154,Moderate,Fast
COND02751,Pleural Effusion Active Exacerbation,Respiratory,4,Emergency,No,No,110,Moderate,Slow
COND02752,Brain Tumor Mild Ischemic,Neurological,5,Pulmonology,No,No,71,High,Slow
COND02753,Cellulitis Recurrent Gram Negative,Infection,10,Emergency,No,No,61,Low,Slow
COND02754,Pulmonary Embolism Moderate Grade I,Cardiac,4,Emergency,No,No,44,Low,Slow
COND02755,Valvular Disease Mild Stage 2,Cardiac,3,Pulmonology,No,No,80,Moderate,Slow
COND02756,Head Injury Minor Open,Trauma,8,Cardiology,No,No,15,Moderate,Slow
COND02757,Sinusitis Moderate Fungal,Respiratory,5,Infectious Disease,No,No,161,Low,Moderate
COND02758,Sinusitis Latent Exacerbation,Respiratory,3,Cardiology,Yes,Yes,38,Low,Fast
COND02759,Viral Fever Acute Resistant,Infection,8,Surgery,Yes,Yes,81,Moderate,Moderate
COND02760,Stroke Acute Ischemic,Neurological,6,Cardiology,No,No,122,Low,Moderate
COND02761,Ventricular Tachycardia Stable Grade II,Cardiac,8,Emergency,No,No,50,Low,Moderate
COND02762,Diverticulitis Mild Complicated,Gastrointestinal,9,General Medicine,No,No,69,Low,Fast
COND02763,Laceration Mild Closed,Trauma,10,Orthopedics,No,No,144,Moderate,Slow
COND02764,Viral Fever Recurrent Community Acquired,Infection,5,General Medicine,No,No,140,Low,Moderate
COND02765,Cholecystitis Acute Type C,Gastrointestinal,3,Cardiology,Yes,No,141,High,Moderate
COND02766,Internal Bleeding Minor Simple,Trauma,10,Emergency,No,No,126,Moderate,Fast
COND02767,Wound Infection Chronic Community Acquired,Infection,3,Cardiology,No,No,104,Low,Moderate
COND02768,Liver Failure Mild Uncomplicated,Gastrointestinal,2,Cardiology,No,No,80,Low,Fast
COND02769,Bronchitis Chronic Type 2,Respiratory,10,Pulmonology,No,No,22,Low,Moderate
COND02770,Peripheral Artery Disease Unstable Stage 1,Cardiac,6,Cardiology,Yes,Yes,22,High,Slow
COND02771,Atrial Fibrillation Mild Grade II,Cardiac,6,Pulmonology,No,No,155,Low,Moderate
COND02772,Hypertension Unstable Type A,Cardiac,8,Cardiology,No,No,15,Moderate,Slow
COND02773,Coronary Artery Disease Severe Grade I,Cardiac,4,Orthopedics,Yes,No,140,Low,Moderate
COND02774,Fracture Minor Compound,Trauma,3,Emergency,Yes,No,91,Moderate,Fast
COND02775,GI Bleed Severe Uncomplicated,Gastrointestinal,6,Surgery,Yes,No,83,Low,Moderate
COND02776,Emphysema Active Fungal,Respiratory,7,ICU,No,No,176,Low,Moderate
COND02777,Alzheimers Mild Primary,Neurological,8,Neurology,No,No,157,Low,Moderate
COND02778,Laceration Major Closed,Trauma,3,Emergency,No,No,16,Moderate,Slow
COND02779,Tuberculosis Severe Viral,Respiratory,6,Pulmonology,No,No,108,Low,Slow
COND02780,Peptic Ulcer Chronic Uncomplicated,Gastrointestinal,10,Gastroenterology,No,No,40,Moderate,Moderate
COND02781,Seizure Progressive Primary,Neurological,6,Orthopedics,No,No,40,Moderate,Slow
COND02782,Hypertension Severe Stage 2,Cardiac,9,Pulmonology,No,Yes,92,Low,Slow
COND02783,Abscess Severe Resistant,Infection,3,Orthopedics,No,No,54,Low,Slow
COND02784,Contusion Mild Closed,Trauma,6,Cardiology,Yes,Yes,166,Moderate,Moderate
COND02785,Sprain Minor 2nd Degree,Trauma,5,Gastroenterology,No,Yes,139,Low,Fast
COND02786,Gastritis Mild Uncomplicated,Gastrointestinal,10,Pulmonology,Yes,Yes,142,Low,Fast
COND02787,Dengue Mild Community Acquired,Infection,8,Orthopedics,Yes,No,126,Low,Moderate
COND02788,Endocarditis Acute Grade III,Cardiac,9,Cardiology,Yes,No,82,Low,Slow
COND02789,Pancreatitis Mild Complicated,Gastrointestinal,3,Cardiology,Yes,Yes,101,Low,Slow
COND02790,Neuropathy Acute Focal,Neurological,7,Gastroenterology,Yes,No,167,Low,Slow
COND02791,Seizure Chronic Focal,Neurological,2,Emergency,No,Yes,109,Low,Moderate
COND02792,Deep Vein Thrombosis Chronic Stage 2,Cardiac,8,Cardiology,No,No,142,Low,Moderate
COND02793,Cardiomyopathy Mild Grade III,Cardiac,5,Infectious Disease,No,No,36,Low,Slow
COND02794,UTI Chronic Resistant,Infection,5,Infectious Disease,Yes,No,93,Low,Moderate
COND02795,Parkinsons Severe Primary,Neurological,7,Cardiology,No,No,77,Low,Slow
COND02796,Cardiomyopathy Severe Stage 2,Cardiac,3,Pulmonology,No,No,82,Low,Slow
COND02797,Concussion Progressive Secondary,Neurological,8,ICU,Yes,Yes,143,Low,Fast
COND02798,Diverticulitis Moderate Complicated,Gastrointestinal,2,Infectious Disease,No,No,166,Low,Moderate
COND02799,Pleurisy Acute Exacerbation,Respiratory,10,ICU,No,No,84,Moderate,Slow
COND02800,Contusion Minor Closed,Trauma,4,Orthopedics,No,No,177,Low,Moderate
COND02801,Bowel Obstruction Severe Type A,Gastrointestinal,4,Gastroenterology,Yes,No,5,Low,Slow
COND02802,Burn Mild Simple,Trauma,6,Surgery,Yes,No,144,Low,Slow
COND02803,Pharyngitis Severe Type 1,Respiratory,3,ICU,No,No,12,Moderate,Moderate
COND02804,Epilepsy Moderate Primary,Neurological,8,Neurology,No,No,157,Low,Moderate
COND02805,Neuropathy Acute Focal,Neurological,10,Orthopedics,No,No,6,Low,Moderate
COND02806,Vertigo Acute Secondary,Neurological,4,Cardiology,No,No,45,Low,Fast
COND02807,Endocarditis Acute Grade I,Cardiac,7,Infectious Disease,Yes,Yes,53,Low,Slow
COND02808,Heart Failure Stable Grade III,Cardiac,7,ICU,No,No,99,Low,Moderate
COND02809,Fungal Infection Severe Community Acquired,Infection,4,ICU,Yes,No,176,Low,Slow
